Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Home Team Form,Away Team Form,Home Team Cumulative Points,Away Team Cumulative Points,Winner
2014-2015,Sunderland,Manchester Utd,1,1,1023,1163,37.45,54.0,51.46,34.0,26.46,25.25,64.43,20.61,0.0666666666666666,0.0,1,0,0
2014-2015,Manchester City,Liverpool,3,1,1346,1283,76.0,40.0,52.0,38.0,39.76,25.04,49.82,25.09,0.2,0.2,3,3,1
2014-2015,Burnley,Manchester Utd,0,0,678,1149,39.0,54.0,58.0,34.0,20.0,15.0,64.35,20.71,0.0,0.0666666666666666,0,1,0
2014-2015,West Ham,Southampton,1,3,1004,1098,47.0,57.0,55.0,39.0,32.56,25.22,29.79,27.91,0.2,0.0666666666666666,3,1,-1
2014-2015,Manchester City,Stoke City,0,1,1319,1090,76.0,40.0,46.0,47.0,39.85,25.0,30.0,30.0,0.4,0.0666666666666666,6,1,-1
2014-2015,Swansea City,West Brom,3,0,1058,979,41.0,56.0,38.63,53.75,31.03,28.45,23.86,27.45,0.4,0.1333333333333333,6,2,1
2014-2015,Newcastle Utd,Crystal Palace,3,3,1000,977,40.0,45.0,51.0,46.0,39.35,25.84,25.0,27.5,0.0666666666666666,0.0,1,0,0
2014-2015,QPR,Sunderland,1,0,884,1000,46.0,65.0,37.45,51.46,30.17,24.38,26.41,25.4,0.0,0.1333333333333333,0,2,1
2014-2015,Everton,Chelsea,3,6,1183,1297,44.89,46.18,69.0,31.0,36.35,28.71,52.94,25.29,0.1333333333333333,0.4,2,6,-1
2014-2015,Tottenham,Liverpool,0,3,1193,1296,53.0,56.0,52.0,38.0,39.76,25.76,49.76,25.06,0.4,0.2,6,3,-1
2014-2015,Aston Villa,Hull City,2,1,1007,919,33.0,50.0,33.0,47.0,35.76,30.59,21.55,26.72,0.2666666666666666,0.2666666666666666,4,4,1
2014-2015,Leicester City,Arsenal,1,1,775,1254,48.0,70.0,56.0,36.0,27.1,29.35,54.24,26.12,0.0666666666666666,0.2666666666666666,1,4,0
2014-2015,Arsenal,Manchester City,2,2,1257,1316,70.0,76.0,36.0,40.0,54.17,26.2,39.79,24.96,0.3333333333333333,0.4,5,6,0
2014-2015,Sunderland,Tottenham,2,2,1008,1185,37.0,53.0,51.0,56.0,26.36,25.35,39.72,25.73,0.1333333333333333,0.4,2,6,0
2014-2015,Stoke City,Leicester City,0,1,1062,803,46.0,47.0,48.0,56.0,30.3,29.87,27.01,29.58,0.2666666666666666,0.1333333333333333,4,2,-1
2014-2015,West Brom,Everton,0,2,971,1191,39.0,54.0,44.0,47.0,23.78,27.36,36.31,28.67,0.1333333333333333,0.1333333333333333,2,2,-1
2014-2015,Southampton,Newcastle Utd,4,0,1110,988,55.0,39.0,40.0,51.0,29.91,27.86,39.3,25.94,0.2666666666666666,0.1333333333333333,4,2,1
2014-2015,Crystal Palace,Burnley,0,0,966,689,45.0,39.0,46.0,58.0,24.88,27.86,19.51,17.07,0.0666666666666666,0.0666666666666666,1,1,0
2014-2015,Chelsea,Swansea City,4,2,1303,1052,70.0,31.0,41.0,55.0,53.0,25.26,31.62,28.21,0.6,0.6,9,9,1
2014-2015,Liverpool,Aston Villa,0,1,1269,1034,52.0,38.0,33.0,50.0,49.82,25.03,35.84,30.55,0.4,0.4666666666666667,6,7,-1
2014-2015,Manchester Utd,QPR,4,0,1155,878,54.0,34.0,46.0,65.0,64.28,20.8,30.45,24.28,0.1333333333333333,0.2,2,3,1
2014-2015,Hull City,West Ham,2,2,923,1000,33.0,47.0,47.0,57.0,21.37,26.5,32.52,25.18,0.2666666666666666,0.2,4,3,0
2014-2015,QPR,Stoke City,2,2,886,1054,46.0,46.0,65.0,47.0,30.33,24.18,30.17,29.74,0.2,0.2666666666666666,3,4,0
2014-2015,Burnley,Sunderland,0,0,701,996,39.0,37.0,58.0,51.0,19.05,19.05,26.31,25.5,0.1333333333333333,0.2,2,3,0
2014-2015,Aston Villa,Arsenal,0,3,1027,1264,33.0,50.0,70.0,36.0,35.92,30.52,54.11,26.29,0.6666666666666666,0.4,10,6,-1
2014-2015,Newcastle Utd,Hull City,2,2,985,926,40.0,33.0,51.0,47.0,39.25,25.91,21.19,27.12,0.1333333333333333,0.3333333333333333,2,5,0
2014-2015,Swansea City,Southampton,0,1,1039,1123,41.0,55.0,56.0,38.0,31.36,27.97,30.03,27.82,0.6,0.4666666666666667,9,7,-1
2014-2015,West Ham,Liverpool,3,1,1026,1243,47.0,57.0,52.0,38.0,32.47,25.29,49.77,25.0,0.2666666666666666,0.4,4,6,1
2014-2015,Leicester City,Manchester Utd,5,3,831,1127,48.0,56.0,55.0,33.0,27.24,29.49,64.32,20.77,0.3333333333333333,0.3333333333333333,5,5,1
2014-2015,Tottenham,West Brom,0,1,1160,996,53.0,56.0,39.0,54.0,39.67,25.82,23.7,27.27,0.4666666666666667,0.1333333333333333,7,2,-1
2014-2015,Everton,Crystal Palace,2,3,1166,991,44.0,47.0,45.0,46.0,36.38,28.64,24.75,28.22,0.3333333333333333,0.1333333333333333,5,2,-1
2014-2015,Manchester City,Chelsea,1,1,1315,1304,76.0,70.0,40.0,31.0,39.73,25.08,53.05,25.23,0.4666666666666667,0.8,7,12,0
2014-2015,Liverpool,Everton,1,1,1240,1169,52.0,44.0,38.0,47.0,49.71,24.97,36.34,28.6,0.4,0.3333333333333333,6,5,0
2014-2015,Manchester Utd,West Ham,2,1,1138,1015,55.0,33.0,47.0,57.0,64.24,20.75,32.57,25.25,0.3333333333333333,0.4666666666666667,5,7,1
2014-2015,Chelsea,Aston Villa,3,0,1309,1022,70.0,31.0,33.0,50.0,52.99,25.32,35.87,30.48,0.8666666666666667,0.6666666666666666,13,10,1
2014-2015,Southampton,QPR,2,1,1130,879,56.0,38.0,46.0,65.0,30.15,27.77,30.2,24.49,0.6666666666666666,0.2666666666666666,10,4,1
2014-2015,Sunderland,Swansea City,0,0,998,1037,37.0,41.0,51.0,55.0,26.25,25.65,31.09,27.73,0.2666666666666666,0.6,4,9,0
2014-2015,Crystal Palace,Leicester City,2,0,1000,822,45.0,46.0,48.0,55.0,25.12,28.08,27.48,29.39,0.3333333333333333,0.5333333333333333,5,8,1
2014-2015,Hull City,Manchester City,2,4,923,1318,33.0,47.0,76.0,40.0,21.01,27.73,39.67,25.19,0.4,0.5333333333333333,6,8,-1
2014-2015,Arsenal,Tottenham,1,1,1259,1165,70.0,53.0,36.0,56.0,54.16,26.26,39.62,25.79,0.6,0.4666666666666667,9,7,0
2014-2015,West Brom,Burnley,4,0,1001,696,39.0,54.0,39.0,58.0,23.95,27.18,18.6,20.93,0.3333333333333333,0.2,5,3,1
2014-2015,Stoke City,Newcastle Utd,1,0,1067,972,46.0,47.0,40.0,51.0,30.04,30.04,39.2,26.0,0.3333333333333333,0.2,5,3,1
2014-2015,Liverpool,West Brom,2,1,1246,995,52.0,38.0,40.0,53.0,49.65,25.06,24.19,27.1,0.2666666666666666,0.4666666666666667,7,8,1
2014-2015,Sunderland,Stoke City,3,1,1017,1048,37.0,51.0,46.0,47.0,26.2,25.8,30.34,29.91,0.2666666666666666,0.5333333333333333,5,8,1
2014-2015,Swansea City,Newcastle Utd,2,2,1034,975,41.0,40.0,55.0,51.0,30.83,28.33,39.15,25.97,0.4666666666666667,0.2,10,3,0
2014-2015,Leicester City,Burnley,2,2,816,702,48.0,39.0,55.0,58.0,27.39,29.3,18.18,20.45,0.4666666666666667,0.2,8,3,0
2014-2015,Hull City,Crystal Palace,2,0,942,981,33.0,47.0,45.0,46.0,20.83,27.5,25.49,27.94,0.2,0.5333333333333333,6,8,1
2014-2015,Aston Villa,Manchester City,0,2,1017,1323,33.0,50.0,76.0,40.0,35.83,30.44,39.76,25.15,0.4666666666666667,0.5333333333333333,10,11,-1
2014-2015,Manchester Utd,Everton,2,1,1155,1152,55.0,33.0,44.0,47.0,64.29,20.73,36.3,28.69,0.5333333333333333,0.3333333333333333,8,6,1
2014-2015,Chelsea,Arsenal,2,0,1323,1245,70.0,31.0,70.0,36.0,53.04,25.29,54.1,26.35,0.8666666666666667,0.4666666666666667,16,10,1
2014-2015,Tottenham,Southampton,1,0,1179,1116,53.0,56.0,56.0,38.0,39.58,25.88,30.27,27.72,0.3333333333333333,0.8666666666666667,8,13,1
2014-2015,West Ham,QPR,2,0,1025,869,47.0,57.0,46.0,65.0,32.52,25.21,30.08,24.39,0.4666666666666667,0.2666666666666666,7,4,1
2014-2015,Manchester City,Tottenham,4,1,1333,1169,76.0,40.0,53.0,56.0,39.85,25.11,39.65,25.85,0.5333333333333333,0.3333333333333333,14,11,1
2014-2015,Crystal Palace,Chelsea,1,2,977,1327,45.0,46.0,70.0,31.0,25.37,27.8,53.1,25.26,0.5333333333333333,0.8666666666666667,8,19,-1
2014-2015,Burnley,West Ham,1,3,698,1029,39.0,58.0,47.0,57.0,17.78,22.22,32.62,25.18,0.2666666666666666,0.4666666666666667,4,10,-1
2014-2015,Southampton,Sunderland,8,0,1128,1005,56.0,38.0,37.0,51.0,30.22,27.67,26.35,25.75,0.8,0.4,13,8,1
2014-2015,Arsenal,Hull City,2,2,1234,953,70.0,33.0,36.0,47.0,54.04,26.32,21.49,27.27,0.4,0.3333333333333333,10,9,0
2014-2015,Everton,Aston Villa,3,0,1162,1007,44.0,47.0,33.0,50.0,36.26,28.65,35.79,30.41,0.2666666666666666,0.4,6,10,1
2014-2015,Newcastle Utd,Leicester City,1,0,984,807,40.0,51.0,48.0,55.0,39.1,26.06,27.3,29.52,0.2,0.5333333333333333,4,9,1
2014-2015,QPR,Liverpool,2,3,866,1249,46.0,65.0,52.0,38.0,29.96,24.29,49.71,25.03,0.2666666666666666,0.4666666666666667,4,10,-1
2014-2015,Stoke City,Swansea City,2,1,1063,1019,46.0,47.0,41.0,55.0,30.21,29.79,30.58,28.93,0.4666666666666667,0.3333333333333333,8,11,1
2014-2015,West Brom,Manchester Utd,2,2,1002,1148,40.0,55.0,53.0,33.0,24.12,27.01,64.33,20.7,0.4,0.6666666666666666,8,11,0
2014-2015,West Ham,Manchester City,2,1,1056,1306,47.0,57.0,77.0,40.0,32.71,25.14,39.94,25.08,0.6666666666666666,0.7333333333333333,13,17,1
2014-2015,Southampton,Stoke City,1,0,1141,1050,59.0,36.0,46.0,47.0,30.34,27.63,30.51,29.66,0.8,0.4666666666666667,16,11,1
2014-2015,West Brom,Crystal Palace,2,2,1001,978,40.0,45.0,53.0,46.0,24.04,27.24,25.24,27.67,0.4666666666666667,0.4666666666666667,9,8,0
2014-2015,Sunderland,Arsenal,0,2,998,1241,37.0,51.0,70.0,36.0,26.29,25.7,53.97,26.4,0.4,0.4,8,11,-1
2014-2015,Liverpool,Hull City,0,0,1238,964,52.0,33.0,38.0,47.0,49.77,25.0,21.31,27.87,0.4666666666666667,0.4,13,10,0
2014-2015,Swansea City,Leicester City,2,0,1026,800,41.0,55.0,48.0,55.0,30.33,28.69,27.22,29.43,0.1333333333333333,0.4666666666666667,11,9,1
2014-2015,Burnley,Everton,1,3,696,1164,39.0,58.0,44.0,47.0,17.39,21.74,36.33,28.62,0.2,0.4666666666666667,4,9,-1
2014-2015,Tottenham,Newcastle Utd,1,2,1145,1008,53.0,56.0,40.0,51.0,39.6,25.82,39.18,26.03,0.3333333333333333,0.3333333333333333,11,7,-1
2014-2015,Manchester Utd,Chelsea,1,1,1156,1319,55.0,70.0,33.0,31.0,64.25,20.79,53.15,25.23,0.6666666666666666,0.8666666666666667,12,22,0
2014-2015,QPR,Aston Villa,2,0,888,985,46.0,65.0,33.0,50.0,29.84,24.19,35.75,30.37,0.0666666666666666,0.2,4,10,1
2014-2015,Newcastle Utd,Liverpool,1,0,1033,1213,40.0,51.0,52.0,38.0,39.25,26.0,49.71,25.09,0.5333333333333333,0.5333333333333333,10,14,1
2014-2015,Chelsea,QPR,2,1,1321,886,70.0,31.0,46.0,65.0,53.09,25.32,30.12,24.1,0.7333333333333333,0.2666666666666666,23,7,1
2014-2015,Hull City,Southampton,0,1,956,1149,33.0,47.0,59.0,36.0,21.14,28.46,30.46,27.58,0.4,0.8,11,19,-1
2014-2015,Everton,Swansea City,0,0,1158,1032,44.0,41.0,47.0,55.0,36.41,28.59,30.89,28.46,0.4666666666666667,0.3333333333333333,12,14,0
2014-2015,Stoke City,West Ham,2,2,1050,1056,46.0,47.0,47.0,57.0,30.38,29.54,32.81,25.11,0.4666666666666667,0.8,11,16,0
2014-2015,Leicester City,West Brom,0,1,792,1009,48.0,55.0,40.0,53.0,27.13,29.34,23.96,27.48,0.2666666666666666,0.5333333333333333,9,10,-1
2014-2015,Arsenal,Burnley,3,0,1242,695,70.0,36.0,39.0,58.0,54.03,26.37,17.02,21.28,0.5333333333333333,0.1333333333333333,14,4,1
2014-2015,Manchester City,Manchester Utd,1,0,1315,1147,77.0,40.0,55.0,33.0,39.88,25.04,64.18,20.89,0.6666666666666666,0.5333333333333333,17,13,1
2014-2015,Aston Villa,Tottenham,1,2,976,1154,33.0,50.0,53.0,56.0,35.71,30.34,39.56,25.79,0.0,0.2666666666666666,10,11,-1
2014-2015,Crystal Palace,Sunderland,1,3,963,1013,45.0,46.0,37.0,51.0,25.12,28.02,26.24,25.65,0.4666666666666667,0.3333333333333333,9,8,-1
2014-2015,Liverpool,Chelsea,1,2,1202,1332,52.0,38.0,70.0,31.0,49.65,25.06,53.15,25.29,0.5333333333333333,0.8666666666666667,14,26,-1
2014-2015,Manchester Utd,Crystal Palace,1,0,1155,955,55.0,33.0,45.0,46.0,64.1,20.86,25.0,27.88,0.5333333333333333,0.2666666666666666,13,9,1
2014-2015,Southampton,Leicester City,2,0,1153,788,59.0,36.0,48.0,55.0,30.57,27.53,27.04,29.25,0.8,0.0666666666666666,22,9,1
2014-2015,West Ham,Aston Villa,0,0,1052,980,47.0,33.0,57.0,50.0,32.76,25.21,35.66,30.3,0.6666666666666666,0.0,17,10,0
2014-2015,Burnley,Hull City,1,0,721,930,39.0,58.0,33.0,47.0,16.67,20.83,20.97,28.23,0.0666666666666666,0.3333333333333333,4,11,1
2014-2015,QPR,Manchester City,2,2,900,1301,46.0,77.0,65.0,40.0,30.0,24.0,39.97,25.0,0.2,0.8,7,20,0
2014-2015,West Brom,Newcastle Utd,0,2,994,1048,40.0,53.0,40.0,51.0,24.2,27.39,39.33,25.96,0.5333333333333333,0.6666666666666666,13,13,-1
2014-2015,Sunderland,Everton,1,1,1019,1152,37.0,44.0,51.0,47.0,26.39,25.6,36.36,28.67,0.4666666666666667,0.5333333333333333,11,13,0
2014-2015,Tottenham,Stoke City,1,2,1133,1071,53.0,56.0,46.0,47.0,39.63,25.76,30.25,29.83,0.4666666666666667,0.4666666666666667,14,12,-1
2014-2015,Swansea City,Arsenal,2,1,1057,1217,41.0,55.0,70.0,36.0,30.65,29.03,54.08,26.34,0.4,0.5333333333333333,15,17,1
2014-2015,Everton,West Ham,2,1,1164,1040,44.0,47.0,47.0,57.0,36.32,28.75,32.72,25.32,0.5333333333333333,0.7333333333333333,14,18,1
2014-2015,Leicester City,Sunderland,0,0,797,1010,48.0,37.0,55.0,51.0,26.96,29.15,26.34,25.74,0.0666666666666666,0.4666666666666667,9,12,0
2014-2015,Newcastle Utd,QPR,1,0,1058,890,40.0,51.0,46.0,65.0,39.41,25.93,29.88,24.3,0.8666666666666667,0.2666666666666666,16,8,1
2014-2015,Manchester City,Swansea City,2,1,1307,1051,77.0,40.0,41.0,55.0,39.91,25.11,31.2,28.8,0.6666666666666666,0.5333333333333333,21,18,1
2014-2015,Stoke City,Burnley,1,2,1043,749,46.0,47.0,39.0,58.0,30.54,29.71,18.37,20.41,0.4666666666666667,0.2666666666666666,15,7,-1
2014-2015,Chelsea,West Brom,2,0,1336,990,70.0,31.0,40.0,53.0,53.2,25.26,24.13,27.3,0.8666666666666667,0.3333333333333333,29,13,1
2014-2015,Arsenal,Manchester Utd,1,2,1198,1174,70.0,36.0,55.0,33.0,54.02,26.31,64.14,20.84,0.4666666666666667,0.5333333333333333,17,16,-1
2014-2015,Crystal Palace,Liverpool,3,1,981,1176,45.0,46.0,52.0,38.0,24.88,27.75,49.59,25.03,0.0666666666666666,0.4666666666666667,9,14,1
2014-2015,Hull City,Tottenham,1,2,922,1141,33.0,47.0,53.0,56.0,20.8,28.0,39.58,25.73,0.3333333333333333,0.4,11,14,-1
2014-2015,Aston Villa,Southampton,1,1,987,1146,33.0,59.0,50.0,36.0,35.62,30.38,30.69,27.49,0.0666666666666666,0.8,11,25,0
2014-2015,West Brom,Arsenal,0,1,983,1205,40.0,53.0,70.0,36.0,24.05,27.22,53.95,26.28,0.3333333333333333,0.4666666666666667,13,17,-1
2014-2015,Swansea City,Crystal Palace,1,1,1048,984,41.0,45.0,55.0,46.0,30.95,28.57,25.24,27.62,0.4666666666666667,0.2666666666666666,18,12,0
2014-2015,QPR,Leicester City,3,2,902,785,46.0,65.0,48.0,55.0,29.76,24.21,26.88,29.38,0.2666666666666666,0.0666666666666666,8,10,1
2014-2015,Burnley,Aston Villa,1,1,759,977,39.0,33.0,58.0,50.0,20.0,20.0,35.58,30.47,0.4,0.1333333333333333,10,12,0
2014-2015,Liverpool,Stoke City,1,0,1186,1033,52.0,38.0,46.0,47.0,49.53,25.0,30.42,29.58,0.2666666666666666,0.4666666666666667,14,15,1
2014-2015,West Ham,Newcastle Utd,1,0,1057,1041,47.0,57.0,40.0,51.0,32.67,25.28,39.49,25.9,0.5333333333333333,1.0,18,19,1
2014-2015,Manchester Utd,Hull City,3,0,1180,916,55.0,33.0,33.0,47.0,64.19,20.81,20.63,27.78,0.5333333333333333,0.1333333333333333,19,11,1
2014-2015,Sunderland,Chelsea,0,0,1022,1324,37.0,70.0,51.0,31.0,26.28,25.89,53.26,25.23,0.3333333333333333,0.8666666666666667,13,32,0
2014-2015,Southampton,Manchester City,0,3,1137,1316,59.0,36.0,77.0,40.0,30.64,27.61,40.0,25.07,0.8666666666666667,0.6666666666666666,26,24,-1
2014-2015,Tottenham,Everton,2,1,1158,1147,53.0,56.0,44.0,47.0,39.65,25.7,36.4,28.72,0.4,0.7333333333333333,17,17,1
2014-2015,Swansea City,QPR,2,0,1058,892,41.0,55.0,46.0,65.0,30.71,29.13,30.04,24.11,0.5333333333333333,0.4666666666666667,19,11,1
2014-2015,Leicester City,Liverpool,1,3,782,1189,48.0,55.0,52.0,38.0,26.79,29.28,49.59,24.97,0.0666666666666666,0.2666666666666666,10,17,-1
2014-2015,Manchester Utd,Stoke City,2,1,1190,1023,55.0,33.0,46.0,47.0,64.23,20.79,30.29,29.46,0.6666666666666666,0.2666666666666666,22,15,1
2014-2015,Burnley,Newcastle Utd,1,1,770,1030,39.0,40.0,58.0,51.0,19.61,21.57,39.44,25.86,0.4666666666666667,0.8,11,19,0
2014-2015,West Brom,West Ham,1,2,970,1070,40.0,53.0,47.0,57.0,23.97,27.13,32.77,25.25,0.2666666666666666,0.5333333333333333,13,21,-1
2014-2015,Crystal Palace,Aston Villa,0,1,968,993,45.0,46.0,33.0,50.0,25.12,27.96,35.54,30.55,0.3333333333333333,0.2,13,13,-1
2014-2015,Everton,Hull City,1,1,1138,925,44.0,33.0,47.0,47.0,36.35,28.69,20.47,27.56,0.5333333333333333,0.0666666666666666,17,11,0
2014-2015,Arsenal,Southampton,1,0,1218,1124,70.0,36.0,59.0,36.0,54.01,26.25,30.59,27.56,0.6,0.6666666666666666,20,26,1
2014-2015,Sunderland,Manchester City,1,4,1017,1321,37.0,51.0,77.0,40.0,26.23,26.04,40.09,25.04,0.4,0.6666666666666666,14,27,-1
2014-2015,Chelsea,Tottenham,3,0,1333,1149,70.0,31.0,53.0,56.0,53.19,25.32,39.72,25.67,0.7333333333333333,0.6,33,20,1
2014-2015,Newcastle Utd,Chelsea,2,1,1057,1306,40.0,51.0,70.0,31.0,39.39,25.96,53.25,25.29,0.6666666666666666,0.8666666666666667,20,36,1
2014-2015,QPR,Burnley,2,0,903,759,46.0,65.0,39.0,58.0,29.92,24.02,19.23,23.08,0.2666666666666666,0.5333333333333333,11,12,1
2014-2015,Liverpool,Sunderland,0,0,1182,1024,52.0,37.0,38.0,51.0,49.65,24.94,26.18,25.98,0.4,0.4,20,14,0
2014-2015,Tottenham,Crystal Palace,0,0,1141,976,53.0,45.0,56.0,46.0,39.68,25.64,25.0,27.83,0.6,0.2666666666666666,20,13,0
2014-2015,Hull City,West Brom,0,0,927,968,33.0,40.0,47.0,53.0,20.31,28.12,23.9,27.04,0.0666666666666666,0.2,12,13,0
2014-2015,Stoke City,Arsenal,3,2,1047,1194,46.0,47.0,70.0,36.0,30.17,29.34,54.06,26.22,0.2666666666666666,0.6,15,23,1
2014-2015,Manchester City,Everton,1,0,1329,1130,78.0,40.0,44.0,47.0,40.18,25.0,36.31,28.77,0.8666666666666667,0.4,30,18,1
2014-2015,West Ham,Swansea City,3,1,1085,1043,47.0,57.0,41.0,55.0,32.86,25.21,31.25,28.91,0.5333333333333333,0.5333333333333333,24,22,1
2014-2015,Aston Villa,Leicester City,2,1,1000,775,33.0,50.0,48.0,55.0,35.61,30.51,26.71,29.19,0.4,0.0666666666666666,16,10,1
2014-2015,Southampton,Manchester Utd,1,2,1111,1203,59.0,36.0,55.0,33.0,30.54,27.52,64.27,20.77,0.4666666666666667,0.8,26,25,-1
2014-2015,Leicester City,Manchester City,0,1,774,1330,48.0,55.0,78.0,40.0,26.63,29.1,40.27,24.96,0.0666666666666666,0.8666666666666667,10,33,-1
2014-2015,West Brom,Aston Villa,1,0,985,983,40.0,53.0,33.0,50.0,23.82,27.27,35.69,30.48,0.0666666666666666,0.6,14,19,1
2014-2015,Chelsea,Hull City,2,0,1309,924,70.0,31.0,33.0,47.0,53.19,25.26,20.16,28.68,0.6666666666666666,0.1333333333333333,36,13,1
2014-2015,Burnley,Southampton,1,0,787,1083,39.0,58.0,59.0,36.0,18.87,22.64,30.49,27.47,0.5333333333333333,0.2666666666666666,12,26,1
2014-2015,Crystal Palace,Stoke City,1,1,979,1044,45.0,46.0,46.0,47.0,24.88,28.17,30.45,29.22,0.3333333333333333,0.4,14,18,0
2014-2015,Sunderland,West Ham,1,1,1027,1082,37.0,47.0,51.0,57.0,26.13,26.13,32.96,25.18,0.2666666666666666,0.6666666666666666,15,27,0
2014-2015,Arsenal,Newcastle Utd,4,1,1204,1047,70.0,36.0,40.0,51.0,54.0,26.19,39.46,25.93,0.4,0.6666666666666666,23,23,1
2014-2015,Manchester Utd,Liverpool,3,0,1218,1167,55.0,33.0,52.0,38.0,64.31,20.74,49.59,25.03,1.0,0.4666666666666667,28,21,1
2014-2015,Swansea City,Tottenham,1,2,1031,1153,41.0,55.0,53.0,56.0,31.01,28.68,39.63,25.72,0.4666666666666667,0.4666666666666667,22,21,-1
2014-2015,Everton,QPR,3,1,1137,896,44.0,47.0,46.0,65.0,36.27,28.74,30.2,23.92,0.3333333333333333,0.4666666666666667,18,14,1
2014-2015,Manchester City,Crystal Palace,3,0,1334,975,78.0,40.0,45.0,46.0,40.36,24.93,24.77,28.5,1.0,0.4,36,15,1
2014-2015,Southampton,Everton,3,0,1101,1119,59.0,36.0,44.0,47.0,30.43,27.42,36.34,28.7,0.0666666666666666,0.4666666666666667,26,21,1
2014-2015,QPR,West Brom,3,2,916,965,46.0,65.0,40.0,53.0,30.08,23.83,24.06,27.19,0.4,0.2666666666666666,14,17,1
2014-2015,Aston Villa,Manchester Utd,1,1,992,1209,33.0,55.0,50.0,33.0,35.65,30.44,64.35,20.72,0.5333333333333333,1.0,19,31,0
2014-2015,West Ham,Leicester City,2,0,1087,769,47.0,57.0,48.0,55.0,32.91,25.28,26.54,29.01,0.6666666666666666,0.0666666666666666,28,10,1
2014-2015,Tottenham,Burnley,2,1,1156,784,53.0,56.0,39.0,58.0,39.7,25.69,20.37,22.22,0.6666666666666666,0.5333333333333333,24,15,1
2014-2015,Hull City,Swansea City,0,1,913,1042,33.0,47.0,41.0,55.0,20.0,28.46,30.77,28.46,0.1333333333333333,0.2666666666666666,13,22,-1
2014-2015,Newcastle Utd,Sunderland,0,1,1030,1044,40.0,51.0,37.0,51.0,39.41,25.89,26.08,26.27,0.4666666666666667,0.2666666666666666,23,16,-1
2014-2015,Liverpool,Arsenal,2,2,1169,1202,52.0,71.0,38.0,36.0,49.54,25.0,54.05,26.16,0.4666666666666667,0.6,21,26,0
2014-2015,Stoke City,Chelsea,0,2,1038,1315,46.0,47.0,70.0,31.0,30.33,29.51,53.24,25.23,0.2666666666666666,0.6666666666666666,19,39,-1
2014-2015,Chelsea,West Ham,2,0,1322,1080,70.0,31.0,47.0,57.0,53.29,25.2,33.0,25.25,0.6666666666666666,0.8666666666666667,42,31,1
