Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Home Team Form,Away Team Form,Home Team Cumulative Points,Away Team Cumulative Points,Winner
2014-2015,Aston Villa,Tottenham,1,2,1482,1636,33.0,50.0,53.0,56.0,35.71,30.34,39.56,25.79,0.0,0.26666666666666666,10,11,-1
2014-2015,Crystal Palace,Sunderland,1,3,1532,1508,45.0,46.0,37.0,51.0,25.12,28.02,26.24,25.65,0.4666666666666667,0.3333333333333333,9,8,-1
2014-2015,Liverpool,Chelsea,1,2,1703,1813,52.0,38.0,70.0,31.0,49.65,25.06,53.15,25.29,0.5333333333333333,0.8666666666666667,14,26,-1
2014-2015,Manchester Utd,Crystal Palace,1,0,1641,1515,55.0,33.0,45.0,46.0,64.1,20.86,25.0,27.88,0.5333333333333333,0.26666666666666666,13,9,1
2014-2015,Southampton,Leicester City,2,0,1649,1455,59.0,36.0,48.0,55.0,30.57,27.53,27.04,29.25,0.8,0.06666666666666667,22,9,1
2014-2015,West Ham,Aston Villa,0,0,1565,1473,47.0,33.0,57.0,50.0,32.76,25.21,35.66,30.3,0.6666666666666666,0.0,17,10,0
2014-2015,Burnley,Hull City,1,0,1382,1473,39.0,58.0,33.0,47.0,16.67,20.83,20.97,28.23,0.06666666666666667,0.3333333333333333,4,11,1
2014-2015,QPR,Manchester City,2,2,1416,1802,46.0,77.0,65.0,40.0,30.0,24.0,39.97,25.0,0.2,0.8,7,20,0
2014-2015,West Brom,Newcastle Utd,0,2,1522,1539,40.0,53.0,40.0,51.0,24.2,27.39,39.33,25.96,0.5333333333333333,0.6666666666666666,13,13,-1
2014-2015,Sunderland,Everton,1,1,1525,1656,37.0,44.0,51.0,47.0,26.39,25.6,36.36,28.67,0.4666666666666667,0.5333333333333333,11,13,0
2014-2015,Tottenham,Stoke City,1,2,1645,1555,53.0,56.0,46.0,47.0,39.63,25.76,30.25,29.83,0.4666666666666667,0.4666666666666667,14,12,-1
2014-2015,Swansea City,Arsenal,2,1,1545,1733,41.0,55.0,70.0,36.0,30.65,29.03,54.08,26.34,0.4,0.5333333333333333,15,17,1
2014-2015,Everton,West Ham,2,1,1650,1561,44.0,47.0,47.0,57.0,36.32,28.75,32.72,25.32,0.5333333333333333,0.7333333333333333,14,18,1
2014-2015,Leicester City,Sunderland,0,0,1447,1531,48.0,37.0,55.0,51.0,26.96,29.15,26.34,25.74,0.06666666666666667,0.4666666666666667,9,12,0
2014-2015,Newcastle Utd,QPR,1,0,1554,1429,40.0,51.0,46.0,65.0,39.41,25.93,29.88,24.3,0.8666666666666667,0.26666666666666666,16,8,1
2014-2015,Manchester City,Swansea City,2,1,1789,1569,77.0,40.0,41.0,55.0,39.91,25.11,31.2,28.8,0.6666666666666666,0.5333333333333333,21,18,1
2014-2015,Stoke City,Burnley,1,2,1575,1402,46.0,47.0,39.0,58.0,30.54,29.71,18.37,20.41,0.4666666666666667,0.26666666666666666,15,7,-1
2014-2015,Chelsea,West Brom,2,0,1824,1507,70.0,31.0,40.0,53.0,53.2,25.26,24.13,27.3,0.8666666666666667,0.3333333333333333,29,13,1
2014-2015,Arsenal,Manchester Utd,1,2,1709,1651,70.0,36.0,55.0,33.0,54.02,26.31,64.14,20.84,0.4666666666666667,0.5333333333333333,17,16,-1
2014-2015,Crystal Palace,Liverpool,3,1,1505,1692,45.0,46.0,52.0,38.0,24.88,27.75,49.59,25.03,0.06666666666666667,0.4666666666666667,9,14,1
2014-2015,Hull City,Tottenham,1,2,1453,1625,33.0,47.0,53.0,56.0,20.8,28.0,39.58,25.73,0.3333333333333333,0.4,11,14,-1
2014-2015,Aston Villa,Southampton,1,1,1477,1657,33.0,59.0,50.0,36.0,35.62,30.38,30.69,27.49,0.06666666666666667,0.8,11,25,0
2014-2015,West Brom,Arsenal,0,1,1503,1690,40.0,53.0,70.0,36.0,24.05,27.22,53.95,26.28,0.3333333333333333,0.4666666666666667,13,17,-1
2014-2015,Swansea City,Crystal Palace,1,1,1562,1529,41.0,45.0,55.0,46.0,30.95,28.57,25.24,27.62,0.4666666666666667,0.26666666666666666,18,12,0
2014-2015,QPR,Leicester City,3,2,1419,1451,46.0,65.0,48.0,55.0,29.76,24.21,26.88,29.38,0.26666666666666666,0.06666666666666667,8,10,1
2014-2015,Burnley,Aston Villa,1,1,1425,1485,39.0,33.0,58.0,50.0,20.0,20.0,35.58,30.47,0.4,0.13333333333333333,10,12,0
2014-2015,Liverpool,Stoke City,1,0,1668,1552,52.0,38.0,46.0,47.0,49.53,25.0,30.42,29.58,0.26666666666666666,0.4666666666666667,14,15,1
2014-2015,West Ham,Newcastle Utd,1,0,1549,1564,47.0,57.0,40.0,51.0,32.67,25.28,39.49,25.9,0.5333333333333333,1.0,18,19,1
2014-2015,Manchester Utd,Hull City,3,0,1670,1444,55.0,33.0,33.0,47.0,64.19,20.81,20.63,27.78,0.5333333333333333,0.13333333333333333,19,11,1
2014-2015,Sunderland,Chelsea,0,0,1527,1828,37.0,70.0,51.0,31.0,26.28,25.89,53.26,25.23,0.3333333333333333,0.8666666666666667,13,32,0
2014-2015,Southampton,Manchester City,0,3,1649,1796,59.0,36.0,77.0,40.0,30.64,27.61,40.0,25.07,0.8666666666666667,0.6666666666666666,26,24,-1
2014-2015,Tottenham,Everton,2,1,1634,1662,53.0,56.0,44.0,47.0,39.65,25.7,36.4,28.72,0.4,0.7333333333333333,17,17,1
2014-2015,Swansea City,QPR,2,0,1560,1436,41.0,55.0,46.0,65.0,30.71,29.13,30.04,24.11,0.5333333333333333,0.4666666666666667,19,11,1
2014-2015,Leicester City,Liverpool,1,3,1434,1679,48.0,55.0,52.0,38.0,26.79,29.28,49.59,24.97,0.06666666666666667,0.26666666666666666,10,17,-1
2014-2015,Manchester Utd,Stoke City,2,1,1677,1541,55.0,33.0,46.0,47.0,64.23,20.79,30.29,29.46,0.6666666666666666,0.26666666666666666,22,15,1
2014-2015,Burnley,Newcastle Utd,1,1,1428,1547,39.0,40.0,58.0,51.0,19.61,21.57,39.44,25.86,0.4666666666666667,0.8,11,19,0
2014-2015,West Brom,West Ham,1,2,1495,1566,40.0,53.0,47.0,57.0,23.97,27.13,32.77,25.25,0.26666666666666666,0.5333333333333333,13,21,-1
2014-2015,Crystal Palace,Aston Villa,0,1,1531,1482,45.0,46.0,33.0,50.0,25.12,27.96,35.54,30.55,0.3333333333333333,0.2,13,13,-1
2014-2015,Everton,Hull City,1,1,1645,1437,44.0,33.0,47.0,47.0,36.35,28.69,20.47,27.56,0.5333333333333333,0.06666666666666667,17,11,0
2014-2015,Arsenal,Southampton,1,0,1698,1639,70.0,36.0,59.0,36.0,54.01,26.25,30.59,27.56,0.6,0.6666666666666666,20,26,1
2014-2015,Sunderland,Manchester City,1,4,1538,1806,37.0,51.0,77.0,40.0,26.23,26.04,40.09,25.04,0.4,0.6666666666666666,14,27,-1
2014-2015,Chelsea,Tottenham,3,0,1817,1651,70.0,31.0,53.0,56.0,53.19,25.32,39.72,25.67,0.7333333333333333,0.6,33,20,1
2014-2015,Newcastle Utd,Chelsea,2,1,1542,1826,40.0,51.0,70.0,31.0,39.39,25.96,53.25,25.29,0.6666666666666666,0.8666666666666667,20,36,1
2014-2015,QPR,Burnley,2,0,1425,1433,46.0,65.0,39.0,58.0,29.92,24.02,19.23,23.08,0.26666666666666666,0.5333333333333333,11,12,1
2014-2015,Liverpool,Sunderland,0,0,1685,1532,52.0,37.0,38.0,51.0,49.65,24.94,26.18,25.98,0.4,0.4,20,14,0
2014-2015,Tottenham,Crystal Palace,0,0,1642,1513,53.0,45.0,56.0,46.0,39.68,25.64,25.0,27.83,0.6,0.26666666666666666,20,13,0
2014-2015,Hull City,West Brom,0,0,1446,1482,33.0,40.0,47.0,53.0,20.31,28.12,23.9,27.04,0.06666666666666667,0.2,12,13,0
2014-2015,Stoke City,Arsenal,3,2,1531,1711,46.0,47.0,70.0,36.0,30.17,29.34,54.06,26.22,0.26666666666666666,0.6,15,23,1
2014-2015,Manchester City,Everton,1,0,1812,1636,78.0,40.0,44.0,47.0,40.18,25.0,36.31,28.77,0.8666666666666667,0.4,30,18,1
2014-2015,West Ham,Swansea City,3,1,1579,1571,47.0,57.0,41.0,55.0,32.86,25.21,31.25,28.91,0.5333333333333333,0.5333333333333333,24,22,1
2014-2015,Aston Villa,Leicester City,2,1,1500,1428,33.0,50.0,48.0,55.0,35.61,30.51,26.71,29.19,0.4,0.06666666666666667,16,10,1
2014-2015,Southampton,Manchester Utd,1,2,1626,1687,59.0,36.0,55.0,33.0,30.54,27.52,64.27,20.77,0.4666666666666667,0.8,26,25,-1
2014-2015,Leicester City,Manchester City,0,1,1415,1821,48.0,55.0,78.0,40.0,26.63,29.1,40.27,24.96,0.06666666666666667,0.8666666666666667,10,33,-1
2014-2015,West Brom,Aston Villa,1,0,1480,1513,40.0,53.0,33.0,50.0,23.82,27.27,35.69,30.48,0.06666666666666667,0.6,14,19,1
2014-2015,Chelsea,Hull City,2,0,1799,1448,70.0,31.0,33.0,47.0,53.19,25.26,20.16,28.68,0.6666666666666666,0.13333333333333333,36,13,1
2014-2015,Burnley,Southampton,1,0,1417,1613,39.0,58.0,59.0,36.0,18.87,22.64,30.49,27.47,0.5333333333333333,0.26666666666666666,12,26,1
2014-2015,Crystal Palace,Stoke City,1,1,1519,1555,45.0,46.0,46.0,47.0,24.88,28.17,30.45,29.22,0.3333333333333333,0.4,14,18,0
2014-2015,Sunderland,West Ham,1,1,1539,1595,37.0,47.0,51.0,57.0,26.13,26.13,32.96,25.18,0.26666666666666666,0.6666666666666666,15,27,0
2014-2015,Arsenal,Newcastle Utd,4,1,1687,1569,70.0,36.0,40.0,51.0,54.0,26.19,39.46,25.93,0.4,0.6666666666666666,23,23,1
