Season,Team,Games,Saves,Goals Conceded,Clean Sheets,Saves per game,Goals Conceded per game,Clean Sheets per game,Saves%,Save Rate
1997-1998,Tottenham,38,138,56,10,3.6315789473684212,1.4736842105263157,0.2631578947368421,0.711340206185567,0.711340206185567
1997-1998,Leeds United,38,119,57,11,3.1315789473684212,1.5,0.2894736842105263,0.6761363636363636,0.6761363636363636
1997-1998,Aston Villa,38,115,48,9,3.026315789473684,1.263157894736842,0.23684210526315788,0.7055214723926381,0.7055214723926381
1997-1998,Bolton,38,156,61,10,4.105263157894737,1.605263157894737,0.2631578947368421,0.7188940092165899,0.7188940092165899
1997-1998,Sheffield Weds,38,138,67,8,3.6315789473684212,1.763157894736842,0.21052631578947367,0.6731707317073171,0.6731707317073171
1997-1998,Manchester Utd,38,112,26,20,2.9473684210526314,0.6842105263157895,0.5263157894736842,0.8115942028985508,0.8115942028985508
1997-1998,Blackburn,38,139,52,14,3.6578947368421053,1.368421052631579,0.3684210526315789,0.7277486910994765,0.7277486910994765
1997-1998,West Ham,38,142,57,8,3.736842105263158,1.5,0.21052631578947367,0.7135678391959799,0.7135678391959799
1997-1998,Liverpool,38,116,42,13,3.0526315789473686,1.105263157894737,0.34210526315789475,0.7341772151898734,0.7341772151898734
1997-1998,Everton,38,141,56,10,3.710526315789474,1.4736842105263157,0.2631578947368421,0.7157360406091371,0.7157360406091371
1997-1998,Newcastle Utd,38,110,45,10,2.8947368421052633,1.1842105263157894,0.2631578947368421,0.7096774193548387,0.7142857142857143
1997-1998,Chelsea,38,125,43,14,3.289473684210526,1.131578947368421,0.3684210526315789,0.7440476190476191,0.7440476190476191
1997-1998,Coventry City,38,148,44,13,3.8947368421052633,1.1578947368421053,0.34210526315789475,0.7708333333333334,0.7708333333333334
1997-1998,Derby County,38,89,49,13,2.3421052631578947,1.2894736842105263,0.34210526315789475,0.644927536231884,0.644927536231884
1997-1998,Southampton,38,139,55,8,3.6578947368421053,1.4473684210526316,0.21052631578947367,0.7164948453608248,0.7164948453608248
1997-1998,Barnsley,38,202,82,5,5.315789473684211,2.1578947368421053,0.13157894736842105,0.7112676056338029,0.7112676056338029
1997-1998,Arsenal,38,101,33,19,2.6578947368421053,0.868421052631579,0.5,0.753731343283582,0.753731343283582
1997-1998,Crystal Palace,38,179,71,6,4.7105263157894735,1.868421052631579,0.15789473684210525,0.716,0.716
1997-1998,Wimbledon,38,136,46,13,3.5789473684210527,1.2105263157894737,0.34210526315789475,0.7472527472527473,0.7472527472527473
1998-1999,Leicester City,38,152,46,14,4.0,1.2105263157894737,0.3684210526315789,0.7676767676767676,0.7676767676767676
1998-1999,Tottenham,38,129,50,12,3.3947368421052633,1.3157894736842106,0.3157894736842105,0.7206703910614525,0.7206703910614525
1998-1999,Nott'ham Forest,38,156,69,6,4.105263157894737,1.8157894736842106,0.15789473684210525,0.6933333333333334,0.6933333333333334
1998-1999,Middlesbrough,38,204,54,13,5.368421052631579,1.4210526315789473,0.34210526315789475,0.7906976744186046,0.7906976744186046
1998-1999,Aston Villa,38,158,46,15,4.157894736842105,1.2105263157894737,0.39473684210526316,0.7745098039215687,0.7745098039215687
1998-1999,Manchester Utd,38,109,37,13,2.8684210526315788,0.9736842105263158,0.34210526315789475,0.7465753424657534,0.7465753424657534
1998-1999,Blackburn,38,137,52,10,3.6052631578947367,1.368421052631579,0.2631578947368421,0.7248677248677249,0.7248677248677249
1998-1999,West Ham,38,203,53,16,5.342105263157895,1.394736842105263,0.42105263157894735,0.79296875,0.79296875
1998-1999,Liverpool,38,132,49,8,3.473684210526316,1.2894736842105263,0.21052631578947367,0.7292817679558011,0.7292817679558011
1998-1999,Newcastle Utd,38,107,54,5,2.8157894736842106,1.4210526315789473,0.13157894736842105,0.6645962732919255,0.6645962732919255
1998-1999,Chelsea,38,106,30,15,2.789473684210526,0.7894736842105263,0.39473684210526316,0.7794117647058824,0.7794117647058824
1998-1999,Coventry City,38,151,51,7,3.973684210526316,1.3421052631578947,0.18421052631578946,0.7475247524752475,0.7475247524752475
1998-1999,Derby County,38,148,45,12,3.8947368421052633,1.1842105263157894,0.3157894736842105,0.7668393782383419,0.7668393782383419
1998-1999,Charlton Ath,38,122,56,11,3.210526315789474,1.4736842105263157,0.2894736842105263,0.6853932584269663,0.6853932584269663
1998-1999,Southampton,38,143,64,9,3.763157894736842,1.6842105263157894,0.23684210526315788,0.6908212560386473,0.6908212560386473
1998-1999,Arsenal,38,107,17,23,2.8157894736842106,0.4473684210526316,0.6052631578947368,0.8629032258064516,0.8629032258064516
1998-1999,Leeds United,38,173,34,15,4.552631578947368,0.8947368421052632,0.39473684210526316,0.8357487922705314,0.8357487922705314
1998-1999,Everton,38,130,47,14,3.4210526315789473,1.236842105263158,0.3684210526315789,0.7344632768361582,0.7344632768361582
1998-1999,Sheffield Weds,38,150,42,12,3.9473684210526314,1.105263157894737,0.3157894736842105,0.78125,0.78125
1998-1999,Wimbledon,38,195,63,7,5.131578947368421,1.6578947368421053,0.18421052631578946,0.7558139534883721,0.7558139534883721
1999-2000,Leicester City,38,124,55,7,3.263157894736842,1.4473684210526316,0.18421052631578946,0.6927374301675978,0.6927374301675978
1999-2000,Middlesbrough,38,185,49,9,4.868421052631579,1.2894736842105263,0.23684210526315788,0.7905982905982906,0.7905982905982906
1999-2000,Manchester Utd,38,111,45,10,2.9210526315789473,1.1842105263157894,0.2631578947368421,0.7115384615384616,0.7115384615384616
1999-2000,West Ham,38,140,53,10,3.6842105263157894,1.394736842105263,0.2631578947368421,0.7253886010362695,0.7253886010362695
1999-2000,Watford,38,143,77,5,3.763157894736842,2.026315789473684,0.13157894736842105,0.65,0.65
1999-2000,Bradford City,38,172,68,7,4.526315789473684,1.7894736842105263,0.18421052631578946,0.7166666666666667,0.7166666666666667
1999-2000,Chelsea,38,98,34,17,2.5789473684210527,0.8947368421052632,0.4473684210526316,0.7424242424242424,0.7424242424242424
1999-2000,Aston Villa,38,100,35,15,2.6315789473684212,0.9210526315789473,0.39473684210526316,0.7407407407407407,0.7407407407407407
1999-2000,Liverpool,38,99,30,15,2.6052631578947367,0.7894736842105263,0.39473684210526316,0.7674418604651163,0.7674418604651163
1999-2000,Everton,38,157,49,11,4.131578947368421,1.2894736842105263,0.2894736842105263,0.7621359223300971,0.7621359223300971
1999-2000,Newcastle Utd,38,96,54,11,2.526315789473684,1.4210526315789473,0.2894736842105263,0.64,0.64
1999-2000,Wimbledon,38,182,74,5,4.7894736842105265,1.9473684210526316,0.13157894736842105,0.7109375,0.7109375
1999-2000,Coventry City,38,159,54,9,4.184210526315789,1.4210526315789473,0.23684210526315788,0.7464788732394366,0.7464788732394366
1999-2000,Derby County,38,139,57,11,3.6578947368421053,1.5,0.2894736842105263,0.7091836734693877,0.7091836734693877
1999-2000,Southampton,38,150,62,11,3.9473684210526314,1.631578947368421,0.2894736842105263,0.7075471698113207,0.7075471698113207
1999-2000,Arsenal,38,83,43,10,2.1842105263157894,1.131578947368421,0.2631578947368421,0.6587301587301587,0.6587301587301587
1999-2000,Sunderland,38,135,56,9,3.5526315789473686,1.4736842105263157,0.23684210526315788,0.7068062827225131,0.7068062827225131
1999-2000,Leeds United,38,146,43,13,3.8421052631578947,1.131578947368421,0.34210526315789475,0.7724867724867724,0.7724867724867724
1999-2000,Sheffield Weds,38,162,70,7,4.2631578947368425,1.8421052631578947,0.18421052631578946,0.6982758620689655,0.6982758620689655
1999-2000,Tottenham,38,114,49,8,3.0,1.2894736842105263,0.21052631578947367,0.6993865030674846,0.6993865030674846
2000-2001,Manchester Utd,38,109.0,31,16,2.8684210526315788,0.8157894736842105,0.42105263157894735,0.7785714285714286,0.7785714285714286
2000-2001,Middlesbrough,38,nan,45,7,nan,1.1842105263157894,0.18421052631578946,0,0
2000-2001,Ipswich Town,38,115.0,42,13,3.026315789473684,1.105263157894737,0.34210526315789475,0.732484076433121,0.732484076433121
2000-2001,West Ham,38,132.0,48,8,3.473684210526316,1.263157894736842,0.21052631578947367,0.7333333333333333,0.7333333333333333
2000-2001,Charlton Ath,38,137.0,58,14,3.6052631578947367,1.5263157894736843,0.3684210526315789,0.7025641025641025,0.7025641025641025
2000-2001,Bradford City,38,188.0,70,6,4.947368421052632,1.8421052631578947,0.15789473684210525,0.7286821705426356,0.7372549019607844
2000-2001,Chelsea,38,105.0,45,10,2.763157894736842,1.1842105263157894,0.2631578947368421,0.7,0.7
2000-2001,Leicester City,38,151.0,51,11,3.973684210526316,1.3421052631578947,0.2894736842105263,0.7475247524752475,0.7475247524752475
2000-2001,Everton,38,113.0,59,7,2.973684210526316,1.5526315789473684,0.18421052631578946,0.6569767441860465,0.6569767441860465
2000-2001,Newcastle Utd,38,129.0,50,7,3.3947368421052633,1.3157894736842106,0.18421052631578946,0.7206703910614525,0.7206703910614525
2000-2001,Coventry City,38,157.0,63,6,4.131578947368421,1.6578947368421053,0.15789473684210525,0.7136363636363636,0.7136363636363636
2000-2001,Aston Villa,38,123.0,43,9,3.236842105263158,1.131578947368421,0.23684210526315788,0.7409638554216867,0.7409638554216867
2000-2001,Southampton,38,134.0,48,14,3.526315789473684,1.263157894736842,0.3684210526315789,0.7362637362637363,0.7362637362637363
2000-2001,Arsenal,38,95.0,38,17,2.5,1.0,0.4473684210526316,0.7142857142857143,0.7142857142857143
2000-2001,Sunderland,38,135.0,41,13,3.5526315789473686,1.0789473684210527,0.34210526315789475,0.7670454545454546,0.7670454545454546
2000-2001,Leeds United,38,119.0,43,11,3.1315789473684212,1.131578947368421,0.2894736842105263,0.7345679012345679,0.7345679012345679
2000-2001,Manchester City,38,139.0,65,7,3.6578947368421053,1.7105263157894737,0.18421052631578946,0.6813725490196079,0.6813725490196079
2000-2001,Derby County,38,158.0,61,13,4.157894736842105,1.605263157894737,0.34210526315789475,0.7214611872146118,0.7214611872146118
2000-2001,Tottenham,38,155.0,53,11,4.078947368421052,1.394736842105263,0.2894736842105263,0.7451923076923077,0.7451923076923077
2000-2001,Liverpool,38,126.0,39,14,3.3157894736842106,1.0263157894736843,0.3684210526315789,0.7636363636363637,0.7636363636363637
2002-2003,Everton,38,124,49,11,3.263157894736842,1.2894736842105263,0.2894736842105263,0.7167630057803468,0.7167630057803468
2002-2003,Manchester Utd,38,88,34,13,2.3157894736842106,0.8947368421052632,0.34210526315789475,0.7213114754098361,0.7213114754098361
2002-2003,Birmingham City,38,122,49,9,3.210526315789474,1.2894736842105263,0.23684210526315788,0.7134502923976608,0.7134502923976608
2002-2003,Chelsea,38,118,38,13,3.1052631578947367,1.0,0.34210526315789475,0.7564102564102564,0.7564102564102564
2002-2003,Fulham,38,147,50,11,3.8684210526315788,1.3157894736842106,0.2894736842105263,0.7461928934010152,0.7461928934010152
2002-2003,Liverpool,38,105,41,14,2.763157894736842,1.0789473684210527,0.3684210526315789,0.7191780821917808,0.7191780821917808
2002-2003,Aston Villa,38,129,47,9,3.3947368421052633,1.236842105263158,0.23684210526315788,0.7329545454545454,0.7329545454545454
2002-2003,Blackburn,38,164,43,15,4.315789473684211,1.131578947368421,0.39473684210526316,0.7922705314009661,0.7922705314009661
2002-2003,Newcastle Utd,38,131,48,14,3.4473684210526314,1.263157894736842,0.3684210526315789,0.7318435754189944,0.7318435754189944
2002-2003,West Brom,38,143,65,6,3.763157894736842,1.7105263157894737,0.15789473684210525,0.6875,0.6875
2002-2003,Bolton,38,138,51,10,3.6315789473684212,1.3421052631578947,0.2631578947368421,0.7301587301587301,0.7301587301587301
2002-2003,West Ham,38,139,59,9,3.6578947368421053,1.5526315789473684,0.23684210526315788,0.702020202020202,0.702020202020202
2002-2003,Southampton,38,151,46,13,3.973684210526316,1.2105263157894737,0.34210526315789475,0.766497461928934,0.766497461928934
2002-2003,Tottenham,38,148,62,5,3.8947368421052633,1.631578947368421,0.13157894736842105,0.7047619047619048,0.7047619047619048
2002-2003,Charlton Ath,38,134,56,8,3.526315789473684,1.4736842105263157,0.21052631578947367,0.7052631578947368,0.7052631578947368
2002-2003,Sunderland,38,145,65,6,3.8157894736842106,1.7105263157894737,0.15789473684210525,0.6904761904761905,0.6904761904761905
2002-2003,Manchester City,38,130,54,10,3.4210526315789473,1.4210526315789473,0.2631578947368421,0.7065217391304348,0.7065217391304348
2002-2003,Leeds United,38,131,57,10,3.4473684210526314,1.5,0.2631578947368421,0.6968085106382979,0.6968085106382979
2002-2003,Middlesbrough,38,140,44,10,3.6842105263157894,1.1578947368421053,0.2631578947368421,0.7608695652173914,0.7608695652173914
2002-2003,Arsenal,38,105,42,10,2.763157894736842,1.105263157894737,0.2631578947368421,0.7142857142857143,0.7142857142857143
2003-2004,Chelsea,38,95,30,21,2.5,0.7894736842105263,0.5526315789473685,0.76,0.76
2003-2004,Birmingham City,38,135,48,15,3.5526315789473686,1.263157894736842,0.39473684210526316,0.7377049180327869,0.7377049180327869
2003-2004,Southampton,38,173,45,12,4.552631578947368,1.1842105263157894,0.3157894736842105,0.7935779816513762,0.7688888888888888
2003-2004,Manchester Utd,38,128,35,14,3.3684210526315788,0.9210526315789473,0.3684210526315789,0.7852760736196319,0.7852760736196319
2003-2004,Leeds United,38,136,79,3,3.5789473684210527,2.0789473684210527,0.07894736842105263,0.6325581395348837,0.6325581395348837
2003-2004,Leicester City,38,145,65,9,3.8157894736842106,1.7105263157894737,0.23684210526315788,0.6904761904761905,0.6904761904761905
2003-2004,Fulham,38,161,46,15,4.2368421052631575,1.2105263157894737,0.39473684210526316,0.7777777777777778,0.7777777777777778
2003-2004,Liverpool,38,112,37,13,2.9473684210526314,0.9736842105263158,0.34210526315789475,0.7516778523489933,0.7466666666666667
2003-2004,Blackburn,38,142,59,9,3.736842105263158,1.5526315789473684,0.23684210526315788,0.7064676616915423,0.7064676616915423
2003-2004,Newcastle Utd,38,131,40,11,3.4473684210526314,1.0526315789473684,0.2894736842105263,0.7660818713450293,0.7660818713450293
2003-2004,Portsmouth,38,138,54,8,3.6315789473684212,1.4210526315789473,0.21052631578947367,0.71875,0.71875
2003-2004,Bolton,38,126,56,10,3.3157894736842106,1.4736842105263157,0.2631578947368421,0.6923076923076923,0.6923076923076923
2003-2004,Manchester City,38,130,54,7,3.4210526315789473,1.4210526315789473,0.18421052631578946,0.7065217391304348,0.7065217391304348
2003-2004,Middlesbrough,38,130,52,14,3.4210526315789473,1.368421052631579,0.3684210526315789,0.7142857142857143,0.7142857142857143
2003-2004,Wolves,38,156,77,7,4.105263157894737,2.026315789473684,0.18421052631578946,0.6695278969957081,0.6902654867256637
2003-2004,Tottenham,38,141,57,8,3.710526315789474,1.5,0.21052631578947367,0.7121212121212122,0.7121212121212122
2003-2004,Charlton Ath,38,154,51,10,4.052631578947368,1.3421052631578947,0.2631578947368421,0.751219512195122,0.751219512195122
2003-2004,Arsenal,38,88,26,15,2.3157894736842106,0.6842105263157895,0.39473684210526316,0.7719298245614035,0.7719298245614035
2003-2004,Everton,38,133,57,10,3.5,1.5,0.2631578947368421,0.7,0.7
2003-2004,Aston Villa,38,129,44,12,3.3947368421052633,1.1578947368421053,0.3157894736842105,0.7456647398843931,0.7456647398843931
2004-2005,Arsenal,38,110,36,16,2.8947368421052633,0.9473684210526315,0.42105263157894735,0.7534246575342466,0.7534246575342466
2004-2005,Charlton Ath,38,174,58,12,4.578947368421052,1.5263157894736843,0.3157894736842105,0.75,0.75
2004-2005,Portsmouth,38,207,59,5,5.447368421052632,1.5526315789473684,0.13157894736842105,0.7781954887218046,0.7781954887218046
2004-2005,Southampton,38,102,68,3,2.6842105263157894,1.7894736842105263,0.07894736842105263,0.6,0.6
2004-2005,Manchester Utd,38,80,26,19,2.1052631578947367,0.6842105263157895,0.5,0.7547169811320755,0.7547169811320755
2004-2005,Liverpool,38,130,41,7,3.4210526315789473,1.0789473684210527,0.18421052631578946,0.7602339181286549,0.7602339181286549
2004-2005,Chelsea,38,97,15,25,2.5526315789473686,0.39473684210526316,0.6578947368421053,0.8660714285714286,0.8660714285714286
2004-2005,Tottenham,38,176,41,13,4.631578947368421,1.0789473684210527,0.34210526315789475,0.8110599078341014,0.8110599078341014
2004-2005,Fulham,38,198,60,8,5.2105263157894735,1.5789473684210527,0.21052631578947367,0.7674418604651163,0.7674418604651163
2004-2005,Blackburn,38,184,43,15,4.842105263157895,1.131578947368421,0.39473684210526316,0.8105726872246696,0.8105726872246696
2004-2005,Newcastle Utd,38,179,57,6,4.7105263157894735,1.5,0.15789473684210525,0.7584745762711864,0.7584745762711864
2004-2005,Norwich City,38,214,77,6,5.631578947368421,2.026315789473684,0.15789473684210525,0.7353951890034365,0.7353951890034365
2004-2005,West Brom,38,186,61,8,4.894736842105263,1.605263157894737,0.21052631578947367,0.7530364372469636,0.7530364372469636
2004-2005,Bolton,38,135,44,8,3.5526315789473686,1.1578947368421053,0.21052631578947367,0.7541899441340782,0.7541899441340782
2004-2005,Manchester City,38,156,39,11,4.105263157894737,1.0263157894736843,0.2894736842105263,0.8,0.8
2004-2005,Middlesbrough,38,167,46,11,4.394736842105263,1.2105263157894737,0.2894736842105263,0.784037558685446,0.784037558685446
2004-2005,Crystal Palace,38,229,62,10,6.026315789473684,1.631578947368421,0.2631578947368421,0.7869415807560137,0.7869415807560137
2004-2005,Everton,38,148,46,13,3.8947368421052633,1.2105263157894737,0.34210526315789475,0.7628865979381443,0.7628865979381443
