Season,Team,Games,Goals,G+A,Penalties,Avg Goals per Game,Avg G+A per Game,Avg Penalties per Game
2000-2001,Sunderland,38,43,75,2.0,1.131578947368421,1.9736842105263157,0.05263157894736842
2000-2001,Bradford City,38,24,44,3.0,0.631578947368421,1.1578947368421053,0.07894736842105263
2000-2001,Charlton Ath,38,44,73,3.0,1.1578947368421053,1.9210526315789473,0.07894736842105263
2000-2001,Leeds United,38,53,84,1.0,1.394736842105263,2.210526315789474,0.02631578947368421
2000-2001,Liverpool,38,64,106,3.0,1.6842105263157894,2.789473684210526,0.07894736842105263
2000-2001,Aston Villa,38,43,71,1.0,1.131578947368421,1.868421052631579,0.02631578947368421
2000-2001,West Ham,38,41,64,4.0,1.0789473684210527,1.6842105263157894,0.10526315789473684
2000-2001,Southampton,38,35,59,0.0,0.9210526315789473,1.5526315789473684,0.0
2000-2001,Manchester Utd,38,73,125,nan,1.9210526315789473,3.289473684210526,nan
2000-2001,Arsenal,38,51,88,1.0,1.3421052631578947,2.3157894736842106,0.02631578947368421
2000-2001,Derby County,38,32,53,2.0,0.8421052631578947,1.394736842105263,0.05263157894736842
2000-2001,Middlesbrough,38,34,54,3.0,0.8947368421052632,1.4210526315789473,0.07894736842105263
2001-2002,Newcastle Utd,38,63,103,5.0,1.6578947368421053,2.710526315789474,0.13157894736842105
2001-2002,Leicester City,38,29,42,2.0,0.7631578947368421,1.105263157894737,0.05263157894736842
2001-2002,Everton,38,34,63,2.0,0.8947368421052632,1.6578947368421053,0.05263157894736842
2001-2002,Arsenal,38,75,124,5.0,1.9736842105263157,3.263157894736842,0.13157894736842105
2001-2002,Ipswich Town,38,35,55,1.0,0.9210526315789473,1.4473684210526316,0.02631578947368421
2001-2002,Tottenham,38,46,75,3.0,1.2105263157894737,1.9736842105263157,0.07894736842105263
2001-2002,Liverpool,38,62,110,nan,1.631578947368421,2.8947368421052633,nan
2001-2002,Sunderland,38,28,49,1.0,0.7368421052631579,1.2894736842105263,0.02631578947368421
2001-2002,Chelsea,38,60,93,3.0,1.5789473684210527,2.4473684210526314,0.07894736842105263
2001-2002,Leeds United,38,45,75,0.0,1.1842105263157894,1.9736842105263157,0.0
2001-2002,Aston Villa,38,44,80,2.0,1.1578947368421053,2.1052631578947367,0.05263157894736842
2001-2002,Charlton Ath,38,32,51,0.0,0.8421052631578947,1.3421052631578947,0.0
2001-2002,Southampton,38,44,66,4.0,1.1578947368421053,1.736842105263158,0.10526315789473684
2001-2002,Manchester Utd,38,84,134,nan,2.210526315789474,3.526315789473684,nan
2001-2002,Blackburn,38,50,84,1.0,1.3157894736842106,2.210526315789474,0.02631578947368421
2001-2002,Fulham,38,35,54,1.0,0.9210526315789473,1.4210526315789473,0.02631578947368421
2001-2002,Bolton,38,41,62,0.0,1.0789473684210527,1.631578947368421,0.0
2001-2002,Middlesbrough,38,26,41,2.0,0.6842105263157895,1.0789473684210527,0.05263157894736842
2001-2002,Derby County,38,31,46,1.0,0.8157894736842105,1.2105263157894737,0.02631578947368421
2001-2002,West Ham,38,45,69,4.0,1.1842105263157894,1.8157894736842106,0.10526315789473684
2002-2003,Tottenham,38,45,76,nan,1.1842105263157894,2.0,nan
2002-2003,Newcastle Utd,38,56,94,3.0,1.4736842105263157,2.473684210526316,0.07894736842105263
2002-2003,Bolton,38,37,55,nan,0.9736842105263158,1.4473684210526316,nan
2002-2003,Everton,38,42,73,0.0,1.105263157894737,1.9210526315789473,0.0
2002-2003,Arsenal,38,78,129,5.0,2.0526315789473686,3.3947368421052633,0.13157894736842105
2002-2003,Aston Villa,38,41,70,3.0,1.0789473684210527,1.8421052631578947,0.07894736842105263
2002-2003,Sunderland,38,20,34,1.0,0.5263157894736842,0.8947368421052632,0.02631578947368421
2002-2003,Manchester City,38,39,69,2.0,1.0263157894736843,1.8157894736842106,0.05263157894736842
2002-2003,Liverpool,38,58,98,4.0,1.5263157894736843,2.5789473684210527,0.10526315789473684
2002-2003,Chelsea,38,57,95,3.0,1.5,2.5,0.07894736842105263
2002-2003,Southampton,38,39,58,6.0,1.0263157894736843,1.5263157894736843,0.15789473684210525
2002-2003,Leeds United,38,52,79,nan,1.368421052631579,2.0789473684210527,nan
2002-2003,West Brom,38,23,35,1.0,0.6052631578947368,0.9210526315789473,0.02631578947368421
2002-2003,Charlton Ath,38,39,62,4.0,1.0263157894736843,1.631578947368421,0.10526315789473684
2002-2003,Manchester Utd,38,72,112,9.0,1.894736842105263,2.9473684210526314,0.23684210526315788
2002-2003,Fulham,38,36,55,6.0,0.9473684210526315,1.4473684210526316,0.15789473684210525
2002-2003,Middlesbrough,38,40,67,nan,1.0526315789473684,1.763157894736842,nan
2002-2003,West Ham,38,37,56,4.0,0.9736842105263158,1.4736842105263157,0.10526315789473684
2002-2003,Birmingham City,38,38,61,4.0,1.0,1.605263157894737,0.10526315789473684
2002-2003,Blackburn,38,44,73,5.0,1.1578947368421053,1.9210526315789473,0.13157894736842105
2003-2004,Portsmouth,38,42,64,nan,1.105263157894737,1.6842105263157894,nan
2003-2004,Arsenal,38,68,108,7.0,1.7894736842105263,2.8421052631578947,0.18421052631578946
2003-2004,Aston Villa,38,45,76,4.0,1.1842105263157894,2.0,0.10526315789473684
2003-2004,Newcastle Utd,38,49,77,7.0,1.2894736842105263,2.026315789473684,0.18421052631578946
2003-2004,Tottenham,38,45,68,nan,1.1842105263157894,1.7894736842105263,nan
2003-2004,Blackburn,38,37,73,0.0,0.9736842105263158,1.9210526315789473,0.0
2003-2004,Wolves,38,36,57,1.0,0.9473684210526315,1.5,0.02631578947368421
2003-2004,Manchester City,38,48,75,4.0,1.263157894736842,1.9736842105263157,0.10526315789473684
2003-2004,Liverpool,38,49,86,8.0,1.2894736842105263,2.263157894736842,0.21052631578947367
2003-2004,Bolton,38,41,63,1.0,1.0789473684210527,1.6578947368421053,0.02631578947368421
2003-2004,Chelsea,38,56,96,4.0,1.4736842105263157,2.526315789473684,0.10526315789473684
2003-2004,Southampton,38,39,61,2.0,1.0263157894736843,1.605263157894737,0.05263157894736842
2003-2004,Leeds United,38,32,51,3.0,0.8421052631578947,1.3421052631578947,0.07894736842105263
2003-2004,Birmingham City,38,39,61,4.0,1.0263157894736843,1.605263157894737,0.10526315789473684
2003-2004,Charlton Ath,38,46,72,nan,1.2105263157894737,1.894736842105263,nan
2003-2004,Manchester Utd,38,61,102,nan,1.605263157894737,2.6842105263157894,nan
2003-2004,Leicester City,38,43,76,2.0,1.131578947368421,2.0,0.05263157894736842
2003-2004,Fulham,38,52,83,nan,1.368421052631579,2.1842105263157894,nan
2003-2004,Middlesbrough,38,40,64,3.0,1.0526315789473684,1.6842105263157894,0.07894736842105263
2003-2004,Everton,38,37,65,1.0,0.9736842105263158,1.7105263157894737,0.02631578947368421
2004-2005,Portsmouth,38,34.0,54.0,nan,0.8947368421052632,1.4210526315789473,nan
2004-2005,Arsenal,38,83.0,145.0,2.0,2.1842105263157894,3.8157894736842106,0.05263157894736842
2004-2005,Liverpool,38,46.0,77.0,3.0,1.2105263157894737,2.026315789473684,0.07894736842105263
2004-2005,Newcastle Utd,38,38.0,59.0,3.0,1.0,1.5526315789473684,0.07894736842105263
2004-2005,Birmingham City,38,36.0,59.0,nan,0.9473684210526315,1.5526315789473684,nan
2004-2005,Crystal Palace,38,35.0,58.0,10.0,0.9210526315789473,1.5263157894736843,0.2631578947368421
2004-2005,Manchester City,38,44.0,68.0,5.0,1.1578947368421053,1.7894736842105263,0.13157894736842105
2004-2005,Everton,38,41.0,70.0,2.0,1.0789473684210527,1.8421052631578947,0.05263157894736842
2004-2005,Norwich City,38,38.0,62.0,3.0,1.0,1.631578947368421,0.07894736842105263
2004-2005,Chelsea,38,65.0,119.0,5.0,1.7105263157894737,3.1315789473684212,0.13157894736842105
2004-2005,Aston Villa,38,41.0,63.0,3.0,1.0789473684210527,1.6578947368421053,0.07894736842105263
2004-2005,Charlton Ath,38,34.0,56.0,0.0,0.8947368421052632,1.4736842105263157,0.0
2004-2005,Southampton,38,nan,nan,nan,nan,nan,nan
2004-2005,Manchester Utd,38,52.0,83.0,3.0,1.368421052631579,2.1842105263157894,0.07894736842105263
2004-2005,Fulham,38,49.0,85.0,2.0,1.2894736842105263,2.236842105263158,0.05263157894736842
2004-2005,Middlesbrough,38,41.0,69.0,1.0,1.0789473684210527,1.8157894736842106,0.02631578947368421
2004-2005,Blackburn,38,28.0,52.0,nan,0.7368421052631579,1.368421052631579,nan
2004-2005,Tottenham,38,nan,nan,nan,nan,nan,nan
2004-2005,West Brom,38,30.0,54.0,2.0,0.7894736842105263,1.4210526315789473,0.05263157894736842
2004-2005,Bolton,38,43.0,66.0,5.0,1.131578947368421,1.736842105263158,0.13157894736842105
2005-2006,Arsenal,38,62,106,4.0,1.631578947368421,2.789473684210526,0.10526315789473684
2005-2006,Aston Villa,38,34,62,1.0,0.8947368421052632,1.631578947368421,0.02631578947368421
2005-2006,Middlesbrough,38,41,70,5.0,1.0789473684210527,1.8421052631578947,0.13157894736842105
2005-2006,West Ham,38,44,76,3.0,1.1578947368421053,2.0,0.07894736842105263
2005-2006,Liverpool,38,53,88,4.0,1.394736842105263,2.3157894736842106,0.10526315789473684
2005-2006,Charlton Ath,38,38,63,4.0,1.0,1.6578947368421053,0.10526315789473684
2005-2006,Newcastle Utd,38,44,73,5.0,1.1578947368421053,1.9210526315789473,0.13157894736842105
2005-2006,Everton,38,30,55,1.0,0.7894736842105263,1.4473684210526316,0.02631578947368421
2005-2006,Sunderland,38,21,35,2.0,0.5526315789473685,0.9210526315789473,0.05263157894736842
2005-2006,Tottenham,38,52,88,4.0,1.368421052631579,2.3157894736842106,0.10526315789473684
2005-2006,Manchester City,38,37,63,nan,0.9736842105263158,1.6578947368421053,nan
2005-2006,Blackburn,38,45,68,3.0,1.1842105263157894,1.7894736842105263,0.07894736842105263
2005-2006,Portsmouth,38,36,61,2.0,0.9473684210526315,1.605263157894737,0.05263157894736842
2005-2006,Birmingham City,38,23,41,2.0,0.6052631578947368,1.0789473684210527,0.05263157894736842
2005-2006,Fulham,38,46,75,4.0,1.2105263157894737,1.9736842105263157,0.10526315789473684
2005-2006,Bolton,38,44,75,2.0,1.1578947368421053,1.9736842105263157,0.05263157894736842
2005-2006,Wigan Athletic,38,42,65,1.0,1.105263157894737,1.7105263157894737,0.02631578947368421
2005-2006,West Brom,38,26,42,nan,0.6842105263157895,1.105263157894737,nan
2005-2006,Chelsea,38,60,102,4.0,1.5789473684210527,2.6842105263157894,0.10526315789473684
2005-2006,Manchester Utd,38,64,107,2.0,1.6842105263157894,2.8157894736842106,0.05263157894736842
2006-2007,Arsenal,38,53,92,10.0,1.394736842105263,2.4210526315789473,0.2631578947368421
2006-2007,Aston Villa,38,41,64,6.0,1.0789473684210527,1.6842105263157894,0.15789473684210525
2006-2007,Wigan Athletic,38,29,48,1.0,0.7631578947368421,1.263157894736842,0.02631578947368421
2006-2007,Middlesbrough,38,38,65,4.0,1.0,1.7105263157894737,0.10526315789473684
2006-2007,Sheffield Utd,38,30,46,2.0,0.7894736842105263,1.2105263157894737,0.05263157894736842
2006-2007,Liverpool,38,51,81,6.0,1.3421052631578947,2.1315789473684212,0.15789473684210525
2006-2007,Charlton Ath,38,31,47,4.0,0.8157894736842105,1.236842105263158,0.10526315789473684
2006-2007,Newcastle Utd,38,34,59,5.0,0.8947368421052632,1.5526315789473684,0.13157894736842105
