Team,Season,Rating
Manchester City,2005-2006,61.8
Manchester Utd,2005-2006,62.82
Middlesbrough,2005-2006,61.89
Newcastle Utd,2005-2006,61.63
Portsmouth,2005-2006,60.19
Sunderland,2005-2006,52.11
Tottenham,2005-2006,61.83
West Brom,2005-2006,57.96
West Ham,2005-2006,52.15
Wigan Athletic,2005-2006,51.0
Arsenal,2006-2007,62.87
Aston Villa,2006-2007,61.78
Blackburn,2006-2007,62.18
Bolton,2006-2007,62.02
Charlton Ath,2006-2007,61.86
Chelsea,2006-2007,63.84
Everton,2006-2007,61.52
Fulham,2006-2007,61.72
Liverpool,2006-2007,62.74
Manchester City,2006-2007,61.58
Manchester Utd,2006-2007,62.91
Middlesbrough,2006-2007,61.75
Newcastle Utd,2006-2007,61.85
Portsmouth,2006-2007,61.23
Reading,2006-2007,51.0
Sheffield Utd,2006-2007,51.0
Tottenham,2006-2007,62.12
Watford,2006-2007,51.0
West Ham,2006-2007,56.98
Wigan Athletic,2006-2007,57.03
Arsenal,2007-2008,62.24
Aston Villa,2007-2008,61.8
Birmingham City,2007-2008,55.64
Blackburn,2007-2008,62.01
Bolton,2007-2008,61.94
Chelsea,2007-2008,62.63
Derby County,2007-2008,51.0
Everton,2007-2008,61.68
Fulham,2007-2008,61.77
Liverpool,2007-2008,62.28
Manchester City,2007-2008,61.72
Manchester Utd,2007-2008,62.28
Middlesbrough,2007-2008,61.78
Newcastle Utd,2007-2008,61.86
Portsmouth,2007-2008,61.58
Reading,2007-2008,57.1
Sunderland,2007-2008,54.3
Tottenham,2007-2008,61.98
West Ham,2007-2008,60.59
Wigan Athletic,2007-2008,60.61
Arsenal,2008-2009,62.49
Aston Villa,2008-2009,61.77
Blackburn,2008-2009,61.77
Bolton,2008-2009,61.85
Chelsea,2008-2009,62.91
Everton,2008-2009,62.07
Fulham,2008-2009,61.54
Hull City,2008-2009,51.0
Liverpool,2008-2009,62.74
Manchester City,2008-2009,61.76
Manchester Utd,2008-2009,63.19
Middlesbrough,2008-2009,61.6
Newcastle Utd,2008-2009,61.64
Portsmouth,2008-2009,62.08
Stoke City,2008-2009,51.0
Sunderland,2008-2009,57.87
Tottenham,2008-2009,61.77
West Brom,2008-2009,52.16
West Ham,2008-2009,61.61
Wigan Athletic,2008-2009,61.79
Arsenal,2009-2010,62.46
Aston Villa,2009-2010,61.91
Birmingham City,2009-2010,54.33
Blackburn,2009-2010,61.58
Bolton,2009-2010,61.55
Burnley,2009-2010,51.0
Chelsea,2009-2010,63.3
Everton,2009-2010,62.42
Fulham,2009-2010,61.99
Hull City,2009-2010,56.71
Liverpool,2009-2010,63.15
Manchester City,2009-2010,61.8
Manchester Utd,2009-2010,63.62
Portsmouth,2009-2010,61.73
Stoke City,2009-2010,57.04
Sunderland,2009-2010,60.27
Tottenham,2009-2010,61.9
West Ham,2009-2010,61.69
Wigan Athletic,2009-2010,61.81
Wolves,2009-2010,51.0
Arsenal,2010-2011,62.43
Aston Villa,2010-2011,62.14
Birmingham City,2010-2011,58.18
Blackburn,2010-2011,61.67
Blackpool,2010-2011,51.0
Bolton,2010-2011,61.27
Chelsea,2010-2011,63.37
Everton,2010-2011,62.15
Fulham,2010-2011,61.95
Liverpool,2010-2011,62.89
Manchester City,2010-2011,61.96
Manchester Utd,2010-2011,63.53
Newcastle Utd,2010-2011,55.55
Stoke City,2010-2011,60.67
Sunderland,2010-2011,61.43
Tottenham,2010-2011,62.15
West Brom,2010-2011,54.41
West Ham,2010-2011,61.51
Wigan Athletic,2010-2011,61.47
Wolves,2010-2011,56.83
Arsenal,2011-2012,62.31
Aston Villa,2011-2012,61.7
Blackburn,2011-2012,61.52
Bolton,2011-2012,61.25
Chelsea,2011-2012,62.91
Everton,2011-2012,61.83
Fulham,2011-2012,62.05
Liverpool,2011-2012,62.43
Manchester City,2011-2012,62.43
Manchester Utd,2011-2012,62.94
Newcastle Utd,2011-2012,58.05
Norwich City,2011-2012,51.0
QPR,2011-2012,51.0
Stoke City,2011-2012,61.69
Sunderland,2011-2012,61.7
Swansea City,2011-2012,51.0
Tottenham,2011-2012,61.9
West Brom,2011-2012,57.68
Wigan Athletic,2011-2012,61.34
Wolves,2011-2012,60.12
Arsenal,2012-2013,62.18
Aston Villa,2012-2013,61.54
Chelsea,2012-2013,62.22
Everton,2012-2013,61.88
Fulham,2012-2013,61.9
Liverpool,2012-2013,62.05
Manchester City,2012-2013,63.0
Manchester Utd,2012-2013,63.16
Newcastle Utd,2012-2013,60.76
Norwich City,2012-2013,56.65
QPR,2012-2013,56.79
Reading,2012-2013,51.0
Southampton,2012-2013,51.0
Stoke City,2012-2013,61.55
Sunderland,2012-2013,61.84
Swansea City,2012-2013,57.22
Tottenham,2012-2013,62.16
West Brom,2012-2013,60.26
West Ham,2012-2013,55.49
Wigan Athletic,2012-2013,61.36
Arsenal,2013-2014,62.33
Aston Villa,2013-2014,61.27
Cardiff City,2013-2014,51.0
Chelsea,2013-2014,62.25
Crystal Palace,2013-2014,51.0
Everton,2013-2014,61.94
Fulham,2013-2014,61.64
Hull City,2013-2014,51.0
Liverpool,2013-2014,62.23
Manchester City,2013-2014,62.93
Manchester Utd,2013-2014,62.68
Newcastle Utd,2013-2014,61.54
Norwich City,2013-2014,60.24
Southampton,2013-2014,56.8
Stoke City,2013-2014,61.67
Sunderland,2013-2014,61.79
Swansea City,2013-2014,60.65
Tottenham,2013-2014,61.91
West Brom,2013-2014,61.48
West Ham,2013-2014,58.19
Arsenal,2014-2015,62.15
Aston Villa,2014-2015,61.37
Burnley,2014-2015,51.0
Chelsea,2014-2015,62.77
Crystal Palace,2014-2015,57.04
Everton,2014-2015,62.21
Hull City,2014-2015,56.93
Leicester City,2014-2015,51.0
Liverpool,2014-2015,62.16
Manchester City,2014-2015,62.95
Manchester Utd,2014-2015,62.37
Newcastle Utd,2014-2015,61.52
QPR,2014-2015,55.51
Southampton,2014-2015,60.68
Stoke City,2014-2015,61.63
Sunderland,2014-2015,61.73
Swansea City,2014-2015,61.61
Tottenham,2014-2015,61.97
West Brom,2014-2015,61.35
West Ham,2014-2015,60.72
Arsenal,2015-2016,62.3
Aston Villa,2015-2016,61.45
Bournemouth,2015-2016,51.0
Chelsea,2015-2016,62.86
Crystal Palace,2015-2016,60.36
Everton,2015-2016,61.89
Leicester City,2015-2016,56.98
Liverpool,2015-2016,62.09
Manchester City,2015-2016,62.73
Manchester Utd,2015-2016,62.16
Newcastle Utd,2015-2016,61.39
Norwich City,2015-2016,55.64
Southampton,2015-2016,62.18
Stoke City,2015-2016,61.66
Sunderland,2015-2016,61.77
Swansea City,2015-2016,61.8
Tottenham,2015-2016,61.81
Watford,2015-2016,51.0
West Brom,2015-2016,61.77
West Ham,2015-2016,61.77
Arsenal,2016-2017,62.56
Bournemouth,2016-2017,56.7
Burnley,2016-2017,54.45
Chelsea,2016-2017,62.13
Crystal Palace,2016-2017,61.43
Everton,2016-2017,61.75
Hull City,2016-2017,55.61
Leicester City,2016-2017,61.02
Liverpool,2016-2017,61.4
Manchester City,2016-2017,62.58
Manchester Utd,2016-2017,62.38
Middlesbrough,2016-2017,51.0
Southampton,2016-2017,62.15
Stoke City,2016-2017,61.64
Sunderland,2016-2017,61.52
Swansea City,2016-2017,61.67
Tottenham,2016-2017,62.14
Watford,2016-2017,56.96
West Brom,2016-2017,61.72
West Ham,2016-2017,61.84
Arsenal,2017-2018,62.44
Bournemouth,2017-2018,60.29
Brighton,2017-2018,51.0
Burnley,2017-2018,58.13
Chelsea,2017-2018,62.47
Crystal Palace,2017-2018,61.35
Everton,2017-2018,61.94
Huddersfield,2017-2018,51.0
Leicester City,2017-2018,61.82
Liverpool,2017-2018,61.79
Manchester City,2017-2018,62.31
Manchester Utd,2017-2018,62.6
Newcastle Utd,2017-2018,55.54
Southampton,2017-2018,61.99
Stoke City,2017-2018,61.65
Swansea City,2017-2018,61.44
Tottenham,2017-2018,62.94
Watford,2017-2018,60.18
West Brom,2017-2018,61.44
West Ham,2017-2018,61.68
Arsenal,2018-2019,62.18
Bournemouth,2018-2019,61.33
Brighton,2018-2019,56.94
Burnley,2018-2019,60.63
Cardiff City,2018-2019,51.0
Chelsea,2018-2019,62.49
Crystal Palace,2018-2019,61.43
Everton,2018-2019,61.75
Fulham,2018-2019,51.0
Huddersfield,2018-2019,56.86
Leicester City,2018-2019,61.64
Liverpool,2018-2019,62.39
Manchester City,2018-2019,63.05
Manchester Utd,2018-2019,62.92
Newcastle Utd,2018-2019,58.06
Southampton,2018-2019,61.59
Tottenham,2018-2019,62.86
Watford,2018-2019,61.34
West Ham,2018-2019,61.59
Wolves,2018-2019,51.0
Arsenal,2019-2020,61.87
Aston Villa,2019-2020,51.0
Bournemouth,2019-2020,61.46
Brighton,2019-2020,60.2
Burnley,2019-2020,61.56
Chelsea,2019-2020,62.47
Crystal Palace,2019-2020,61.67
Everton,2019-2020,61.89
Leicester City,2019-2020,61.61
