Home Team,Away Team,Home Team ELO,Away Team ELO,Home Team Win Percentage,Home Team Draw Percentage,Away Team Win Percentage,Away Team Draw Percentage,Winner
Fulham,Manchester City,1275,1307,31.72,26.9,28.06,30.32,0
Liverpool,Tottenham,1374,1336,47.6,25.4,35.2,25.8,0
Crystal Palace,Norwich City,1137,1087,23.38,29.22,29.75,31.65,0
Birmingham City,Portsmouth,1289,1240,31.48,30.56,30.0,22.86,0
Southampton,Aston Villa,1246,1340,29.8,27.0,38.4,28.8,-1
Bolton,Southampton,1377,1252,29.15,28.25,29.74,26.95,0
Middlesbrough,Fulham,1313,1277,30.95,29.1,31.51,27.4,0
Portsmouth,Liverpool,1230,1384,29.58,23.94,47.5,25.55,-1
Tottenham,West Brom,1330,1195,35.13,25.95,15.71,30.0,0
Chelsea,Arsenal,1593,1564,45.6,28.2,53.0,27.6,0
Norwich City,Newcastle Utd,1113,1305,29.56,32.08,43.76,26.7,1
Everton,Manchester Utd,1345,1496,32.2,27.4,62.2,23.4,1
Manchester City,Birmingham City,1322,1274,27.97,30.55,31.19,31.19,1
Blackburn,Crystal Palace,1341,1129,40.09,27.36,23.23,29.68,1
Aston Villa,Charlton Ath,1338,1304,38.52,28.74,32.29,27.8,0
Crystal Palace,Liverpool,1155,1358,23.08,29.49,47.61,25.5,1
Norwich City,Charlton Ath,1137,1280,30.0,31.87,32.14,28.12,1
Chelsea,Fulham,1597,1273,45.51,28.34,31.29,27.89,1
Middlesbrough,West Brom,1324,1184,30.87,29.29,15.49,30.99,1
Aston Villa,Bolton,1340,1375,38.45,28.88,29.02,28.57,0
Blackburn,Manchester City,1340,1323,40.24,27.29,28.21,30.45,0
Everton,Birmingham City,1342,1277,32.34,27.35,30.91,30.91,0
Manchester Utd,Newcastle Utd,1504,1297,62.08,23.35,43.67,26.64,1
Portsmouth,Southampton,1247,1235,29.17,23.61,29.68,27.09,1
Arsenal,Tottenham,1571,1323,52.89,27.74,35.06,26.1,1
West Brom,Blackburn,1191,1333,15.28,30.56,40.14,27.46,0
Newcastle Utd,Middlesbrough,1298,1323,43.57,26.58,31.05,29.21,0
Manchester City,Portsmouth,1336,1234,28.12,30.67,30.14,23.29,1
Newcastle Utd,Crystal Palace,1292,1161,43.48,26.74,23.57,29.3,0
Bolton,Chelsea,1368,1604,28.89,28.89,45.62,28.29,-1
Fulham,Everton,1292,1323,31.08,27.7,32.27,27.49,1
Liverpool,Middlesbrough,1356,1325,47.51,25.45,30.97,29.4,0
Birmingham City,Blackburn,1296,1314,30.63,31.53,40.05,27.63,1
Southampton,Norwich City,1247,1125,29.62,27.04,30.43,31.68,1
Tottenham,Aston Villa,1340,1323,34.99,26.04,38.37,29.03,1
Charlton Ath,Manchester Utd,1273,1511,32.0,28.0,62.15,23.31,-1
West Brom,Arsenal,1188,1574,15.07,31.51,52.99,27.69,-1
Fulham,Newcastle Utd,1276,1308,31.54,27.52,43.38,26.9,-1
Chelsea,Charlton Ath,1608,1269,45.73,28.23,31.86,27.88,1
Norwich City,Birmingham City,1148,1273,30.25,31.48,31.25,31.25,1
Aston Villa,Manchester City,1308,1351,38.29,28.97,28.34,30.57,-1
Blackburn,Fulham,1296,1294,39.95,27.57,31.33,27.33,-1
Middlesbrough,Tottenham,1342,1323,30.89,29.58,35.12,25.99,1
Crystal Palace,Southampton,1165,1243,23.42,29.75,29.76,26.98,0
Everton,Newcastle Utd,1338,1293,32.21,27.44,43.51,26.84,1
Portsmouth,Bolton,1240,1362,29.73,22.97,28.76,28.76,0
Manchester Utd,West Brom,1499,1200,62.23,23.26,14.86,31.08,0
Arsenal,Liverpool,1581,1349,53.08,27.63,47.42,25.6,1
Manchester Utd,Chelsea,1488,1619,62.1,23.41,45.83,28.17,-1
Arsenal,Everton,1587,1332,53.17,27.58,32.34,27.38,1
Southampton,Manchester Utd,1237,1494,29.7,27.13,61.98,23.37,-1
Charlton Ath,Crystal Palace,1264,1170,31.72,27.75,23.27,30.19,0
Bolton,Everton,1377,1317,28.63,29.07,32.28,27.33,1
Tottenham,Blackburn,1322,1297,35.05,25.94,39.86,27.51,0
Newcastle Utd,Chelsea,1305,1607,43.41,26.78,45.94,28.12,0
Liverpool,Aston Villa,1363,1294,47.33,25.54,38.22,28.91,1
Fulham,Norwich City,1304,1138,31.79,27.15,30.67,31.29,1
West Brom,Portsmouth,1218,1222,14.67,32.0,29.33,24.0,1
Manchester City,Middlesbrough,1351,1342,28.57,30.48,31.07,29.5,0
Birmingham City,Arsenal,1300,1560,30.97,30.97,53.27,27.52,1
Aston Villa,Bolton,1298,1373,38.14,28.85,28.95,28.95,0
Middlesbrough,Liverpool,1343,1362,30.99,29.69,47.43,25.49,0
Everton,Manchester Utd,1309,1502,32.21,27.27,62.06,23.32,-1
Sunderland,Charlton Ath,1033,1271,28.95,25.79,31.58,28.07,-1
Fulham,Birmingham City,1304,1300,32.24,26.97,31.58,30.7,0
Portsmouth,Tottenham,1210,1334,28.95,23.68,34.98,26.09,-1
West Ham,Blackburn,1302,1280,34.02,26.8,39.77,27.67,1
Manchester City,West Brom,1345,1224,28.48,30.7,15.79,31.58,0
Arsenal,Newcastle Utd,1566,1299,53.16,27.47,43.32,26.94,1
Wigan Athletic,Chelsea,850,1607,0,0,45.85,28.26,-1
Newcastle Utd,West Ham,1299,1302,43.23,26.88,34.19,26.74,0
West Brom,Portsmouth,1239,1195,15.58,32.47,28.57,23.38,1
Charlton Ath,Wigan Athletic,1274,847,31.88,27.95,0.0,0.0,1
Birmingham City,Manchester City,1286,1359,31.3,31.3,28.39,30.91,-1
Manchester Utd,Aston Villa,1510,1290,62.13,23.27,38.07,28.99,1
Liverpool,Sunderland,1366,1029,47.34,25.64,28.8,25.65,1
Blackburn,Fulham,1297,1287,39.68,27.61,32.03,27.45,1
Tottenham,Middlesbrough,1350,1327,35.11,26.04,30.91,29.87,1
Bolton,Everton,1354,1328,28.82,29.26,32.15,27.22,-1
Chelsea,Arsenal,1621,1552,45.96,28.21,53.25,27.42,1
Sunderland,Manchester City,1025,1363,28.65,25.52,28.62,30.82,-1
Birmingham City,Middlesbrough,1272,1341,31.03,31.03,30.83,29.79,-1
Portsmouth,Aston Villa,1199,1286,28.21,23.08,37.99,28.94,0
Blackburn,Tottenham,1299,1348,39.81,27.55,35.24,25.98,0
Bolton,Newcastle Utd,1367,1286,28.7,29.13,43.13,27.04,1
Arsenal,Fulham,1558,1281,53.15,27.36,31.82,27.27,1
Chelsea,West Brom,1624,1236,46.06,28.15,16.67,32.05,1
Tottenham,Chelsea,1343,1629,35.17,26.13,46.17,28.09,-1
Fulham,Everton,1299,1310,31.61,27.1,32.28,27.17,1
Manchester City,Portsmouth,1372,1190,28.84,30.72,27.85,24.05,1
West Brom,Birmingham City,1222,1286,16.46,31.65,30.77,30.77,-1
Wigan Athletic,Sunderland,871,1001,0.0,0.0,28.5,25.39,1
Aston Villa,Blackburn,1303,1282,37.92,29.08,39.72,27.71,1
West Ham,Bolton,1289,1380,34.1,26.92,29.0,29.0,-1
Middlesbrough,Charlton Ath,1322,1293,31.01,29.72,32.17,27.83,-1
Newcastle Utd,Manchester Utd,1279,1517,43.04,26.98,62.2,23.23,-1
West Brom,Wigan Athletic,1194,899,16.25,31.25,33.33,0.0,-1
Middlesbrough,Arsenal,1347,1533,30.93,29.64,53.24,27.31,1
Everton,Portsmouth,1289,1211,32.22,27.11,27.5,23.75,-1
Birmingham City,Charlton Ath,1270,1309,31.36,30.51,32.47,27.71,-1
Chelsea,Sunderland,1630,1000,46.27,28.04,28.35,25.26,1
Manchester Utd,Manchester City,1511,1378,62.28,23.18,29.06,30.63,0
Newcastle Utd,Fulham,1280,1298,42.95,26.92,32.05,26.92,0
Tottenham,Liverpool,1344,1365,35.1,26.08,47.44,25.59,0
Bolton,Blackburn,1376,1286,29.31,28.88,39.63,27.65,0
West Ham,Aston Villa,1306,1286,34.02,26.85,38.04,29.02,1
Charlton Ath,Chelsea,1305,1634,32.76,27.59,46.38,27.98,-1
Portsmouth,Birmingham City,1214,1267,28.4,23.46,31.09,30.25,0
Fulham,West Ham,1282,1322,31.85,27.39,34.18,26.79,-1
Sunderland,West Brom,1008,1186,28.21,25.13,16.05,30.86,0
Aston Villa,Tottenham,1289,1341,37.96,28.96,35.03,26.22,0
Manchester City,Bolton,1362,1392,28.97,30.84,29.18,29.18,-1
Wigan Athletic,Middlesbrough,913,1333,50.0,0.0,31.11,29.56,0
Blackburn,Newcastle Utd,1270,1296,39.54,27.82,42.86,27.08,-1
Liverpool,Manchester Utd,1371,1505,47.35,25.74,62.16,23.33,0
Arsenal,Everton,1539,1283,53.14,27.25,32.16,27.06,1
West Ham,Arsenal,1331,1530,34.35,26.72,53.23,27.2,0
Chelsea,Aston Villa,1638,1285,46.48,27.93,37.89,29.1,1
West Brom,Charlton Ath,1175,1316,15.85,31.71,32.62,27.47,-1
Bolton,Portsmouth,1400,1206,29.49,29.06,28.05,24.39,1
Newcastle Utd,Manchester City,1315,1343,42.98,27.02,28.88,30.75,1
Everton,Wigan Athletic,1254,942,32.09,27.01,40.0,20.0,-1
Birmingham City,Liverpool,1272,1366,30.83,30.83,47.25,25.88,0
Manchester Utd,Blackburn,1480,1295,62.04,23.48,39.45,27.75,-1
Middlesbrough,Sunderland,1305,1036,31.03,29.74,28.06,25.51,-1
Tottenham,Fulham,1354,1269,34.96,26.37,31.65,27.22,1
Sunderland,West Ham,1047,1320,28.43,25.38,34.26,26.9,0
Charlton Ath,Tottenham,1302,1368,32.91,27.35,35.09,26.32,-1
Portsmouth,Newcastle Utd,1211,1310,27.71,24.1,43.1,26.96,0
Fulham,Manchester Utd,1262,1487,31.45,27.04,61.91,23.44,-1
Blackburn,West Brom,1306,1164,39.59,27.69,15.66,31.33,1
Manchester City,Everton,1355,1242,28.79,30.65,32.03,26.95,1
Wigan Athletic,Bolton,972,1370,50.0,16.67,29.79,28.94,1
Arsenal,Birmingham City,1536,1266,53.12,27.34,30.58,31.4,1
Aston Villa,Middlesbrough,1270,1320,37.82,29.04,30.95,29.67,-1
Liverpool,Chelsea,1360,1644,47.16,26.03,46.59,27.88,-1
Middlesbrough,Portsmouth,1315,1216,31.12,29.59,27.38,25.0,0
West Brom,Arsenal,1193,1507,15.48,30.95,53.22,27.29,1
Tottenham,Everton,1378,1232,35.21,26.26,31.97,26.9,1
Chelsea,Bolton,1649,1365,46.69,27.82,29.66,28.81,1
Liverpool,Blackburn,1374,1292,47.07,25.98,39.73,27.63,1
Sunderland,Manchester Utd,1045,1489,28.28,25.76,61.99,23.39,-1
Wigan Athletic,Newcastle Utd,1000,1282,57.14,14.29,43.01,27.12,1
Birmingham City,Aston Villa,1250,1286,30.33,31.15,37.74,28.99,-1
Manchester City,West Ham,1369,1306,29.01,30.56,34.18,27.09,1
Charlton Ath,Fulham,1300,1264,32.77,27.23,31.25,26.88,0
Blackburn,Birmingham City,1306,1236,39.64,27.56,30.08,30.89,1
Aston Villa,Wigan Athletic,1259,1027,37.86,28.93,62.5,12.5,-1
Arsenal,Manchester City,1517,1359,53.11,27.24,29.23,30.46,1
Manchester Utd,Tottenham,1484,1383,62.06,23.35,35.34,26.21,0
Portsmouth,Charlton Ath,1204,1312,27.06,25.88,32.63,27.54,-1
Fulham,Liverpool,1285,1353,31.06,27.33,47.17,25.93,1
Everton,Chelsea,1245,1636,31.91,26.85,46.8,27.77,0
Bolton,West Brom,1374,1184,29.54,28.69,16.47,30.59,1
West Ham,Middlesbrough,1322,1299,34.09,27.02,31.04,29.77,1
Newcastle Utd,Sunderland,1289,1038,42.92,27.06,28.14,25.63,1
Sunderland,Portsmouth,1029,1213,28.0,25.5,26.74,25.58,-1
Tottenham,Arsenal,1389,1511,35.27,26.36,53.2,27.18,0
Chelsea,Blackburn,1640,1302,46.71,27.91,39.77,27.5,1
Charlton Ath,Bolton,1299,1387,32.91,27.43,29.83,28.57,-1
Middlesbrough,Manchester Utd,1323,1460,30.96,29.7,61.94,23.5,1
Birmingham City,Everton,1220,1261,29.84,30.65,31.84,26.99,-1
Liverpool,West Ham,1368,1307,47.08,25.88,34.26,26.95,1
Wigan Athletic,Fulham,1053,1259,66.67,11.11,31.48,27.16,1
West Brom,Newcastle Utd,1173,1300,16.28,30.23,43.04,27.0,-1
Manchester City,Aston Villa,1371,1247,29.14,30.37,37.79,28.88,1
Arsenal,Sunderland,1513,1027,53.1,27.33,27.86,25.37,1
Fulham,Manchester City,1280,1350,31.29,26.99,29.36,30.28,1
Portsmouth,Wigan Athletic,1190,1076,27.59,25.29,70.0,10.0,-1
West Ham,West Brom,1317,1163,34.17,26.88,16.09,29.89,1
Blackburn,Charlton Ath,1318,1283,39.68,27.44,32.77,27.31,1
Newcastle Utd,Birmingham City,1312,1208,43.16,26.95,29.6,30.4,1
Aston Villa,Liverpool,1236,1379,37.72,28.82,47.18,25.83,-1
Everton,Middlesbrough,1280,1304,31.98,26.94,31.14,29.62,1
Manchester Utd,Chelsea,1484,1616,61.82,23.45,46.81,27.85,1
Bolton,Tottenham,1403,1373,30.13,28.45,35.2,26.5,1
Liverpool,Portsmouth,1387,1182,47.29,25.78,27.27,25.0,1
Charlton Ath,Manchester Utd,1275,1492,32.64,27.2,61.9,23.4,-1
Manchester City,Blackburn,1349,1319,29.27,30.18,39.82,27.38,0
Sunderland,Aston Villa,1020,1243,27.72,25.25,37.64,28.76,-1
Chelsea,Newcastle Utd,1621,1307,46.72,27.8,43.28,26.89,1
West Brom,Everton,1184,1259,15.91,29.55,32.11,26.89,1
Wigan Athletic,Arsenal,1074,1515,72.73,9.09,53.19,27.27,-1
Tottenham,West Ham,1370,1320,35.14,26.45,34.34,26.82,0
Middlesbrough,Fulham,1319,1265,31.06,29.55,31.71,26.83,1
Arsenal,Blackburn,1523,1311,53.28,27.22,39.73,27.54,1
Sunderland,Birmingham City,1012,1216,27.59,25.12,29.37,30.16,-1
Manchester City,Liverpool,1335,1401,29.18,30.4,47.39,25.73,-1
Wigan Athletic,Tottenham,1069,1375,66.67,8.33,35.07,26.59,-1
Aston Villa,Charlton Ath,1260,1258,37.76,28.71,32.5,27.08,1
Portsmouth,Chelsea,1180,1623,26.97,24.72,46.82,27.75,-1
Middlesbrough,West Brom,1313,1190,31.23,29.47,16.85,29.21,0
West Ham,Manchester Utd,1311,1501,34.25,27.0,61.97,23.36,-1
Fulham,Bolton,1287,1381,31.52,26.67,30.42,28.33,1
Everton,Newcastle Utd,1277,1289,32.05,26.83,43.19,26.83,1
Sunderland,Liverpool,1009,1404,27.45,25.0,47.49,25.68,-1
Newcastle Utd,Aston Villa,1288,1261,43.1,26.78,37.88,28.65,0
Tottenham,Sunderland,1378,1006,35.19,26.54,27.32,24.88,1
West Brom,Fulham,1194,1283,16.67,30.0,31.93,26.51,0
Manchester Utd,Portsmouth,1505,1176,62.04,23.31,26.67,24.44,1
Chelsea,Middlesbrough,1628,1308,46.92,27.69,31.16,29.65,1
Liverpool,Wigan Athletic,1408,1065,47.59,25.63,61.54,7.69,1
Blackburn,Everton,1293,1295,39.64,27.48,32.18,26.78,-1
Bolton,Arsenal,1403,1501,30.29,28.22,53.37,27.17,1
Charlton Ath,Manchester City,1245,1348,32.37,26.97,29.09,30.3,-1
Birmingham City,West Ham,1204,1323,29.92,29.92,34.16,26.93,-1
West Brom,Manchester City,1217,1325,16.48,30.77,29.31,30.21,1
Newcastle Utd,Arsenal,1313,1476,43.01,26.93,53.27,27.12,1
Chelsea,Wigan Athletic,1629,1064,47.02,27.64,57.14,7.14,1
Liverpool,Middlesbrough,1420,1296,47.69,25.58,31.08,29.57,1
Blackburn,West Ham,1310,1306,39.55,27.42,34.33,26.87,1
Birmingham City,Fulham,1224,1263,29.69,29.69,31.74,26.95,1
Charlton Ath,Sunderland,1251,1000,32.23,26.86,27.18,24.76,1
Bolton,Aston Villa,1397,1267,30.58,28.1,37.81,28.79,0
Manchester Utd,Everton,1496,1304,62.12,23.27,32.31,26.73,0
Tottenham,Portsmouth,1386,1168,35.32,26.49,26.37,24.18,1
Everton,West Ham,1288,1322,32.25,26.87,34.24,26.8,-1
Manchester Utd,Wigan Athletic,1498,1062,62.0,23.42,53.33,6.67,1
Aston Villa,Manchester Utd,1260,1505,37.74,28.93,62.07,23.37,-1
Manchester City,Birmingham City,1336,1213,29.22,30.12,30.23,29.46,1
Everton,Bolton,1277,1408,32.18,26.82,30.45,28.4,-1
West Ham,Newcastle Utd,1306,1329,34.41,26.73,43.12,26.88,-1
Portsmouth,West Brom,1186,1199,26.09,23.91,17.39,30.43,1
Wigan Athletic,Charlton Ath,1086,1227,50.0,6.25,32.51,26.75,1
Fulham,Blackburn,1281,1292,31.55,26.79,39.69,27.35,1
Arsenal,Chelsea,1467,1638,53.17,27.06,47.13,27.59,-1
Middlesbrough,Tottenham,1300,1382,31.0,29.5,35.44,26.44,0
Portsmouth,West Ham,1191,1301,26.88,23.66,34.32,26.67,0
Wigan Athletic,Manchester City,1112,1310,52.94,5.88,29.43,30.03,1
Aston Villa,Everton,1277,1260,37.67,28.87,32.12,26.77,1
Chelsea,Fulham,1642,1277,47.23,27.53,31.95,26.63,1
Liverpool,Newcastle Utd,1432,1317,47.79,25.53,43.24,26.82,1
Sunderland,Bolton,1013,1395,27.05,24.64,30.74,28.28,0
Middlesbrough,Blackburn,1284,1308,30.92,29.68,39.6,27.29,-1
Manchester Utd,West Brom,1510,1194,62.14,23.33,17.2,30.11,1
Charlton Ath,Arsenal,1221,1473,32.38,26.64,53.07,27.01,-1
Tottenham,Birmingham City,1391,1204,35.37,26.58,30.0,29.23,1
Fulham,Aston Villa,1277,1277,31.76,26.47,37.79,28.82,0
West Brom,Tottenham,1218,1367,17.02,29.79,35.5,26.53,1
Manchester City,Chelsea,1306,1646,29.34,29.94,47.33,27.48,-1
Everton,Liverpool,1251,1441,32.06,26.72,47.89,25.48,-1
West Ham,Wigan Athletic,1277,1136,34.24,26.85,55.56,5.56,-1
Birmingham City,Manchester Utd,1215,1499,29.77,29.01,62.21,23.28,0
Arsenal,Portsmouth,1478,1186,53.15,26.96,26.6,24.47,1
Middlesbrough,Manchester City,1285,1305,30.85,29.6,29.25,29.85,0
Tottenham,Newcastle Utd,1381,1303,35.43,26.48,43.15,26.76,1
Liverpool,West Brom,1448,1211,47.99,25.43,17.89,29.47,1
Aston Villa,Arsenal,1285,1470,37.71,28.95,53.24,26.91,0
Wigan Athletic,Blackburn,1127,1317,57.89,5.26,39.73,27.23,-1
Portsmouth,Fulham,1206,1257,26.32,24.21,31.58,26.9,1
Sunderland,Everton,1007,1257,26.92,25.0,32.0,26.67,-1
Manchester Utd,Bolton,1510,1384,62.1,23.43,30.61,28.57,1
Charlton Ath,West Ham,1240,1258,32.24,26.53,34.15,26.78,1
Chelsea,Birmingham City,1648,1213,47.43,27.43,29.55,29.55,1
Birmingham City,Wigan Athletic,1225,1115,29.32,29.32,55.0,5.0,1
West Brom,Aston Villa,1198,1298,17.71,29.17,37.64,29.09,-1
West Ham,Chelsea,1255,1651,34.07,26.72,47.53,27.38,-1
Bolton,Liverpool,1387,1445,30.49,28.46,48.09,25.38,0
Fulham,Sunderland,1263,1001,31.4,26.74,26.79,24.88,1
Everton,Charlton Ath,1272,1225,32.13,26.62,32.52,26.42,1
Blackburn,Portsmouth,1328,1195,39.87,27.17,27.08,23.96,1
Newcastle Utd,Middlesbrough,1302,1286,43.06,26.71,30.77,29.78,0
Arsenal,Manchester Utd,1472,1508,53.14,27.05,62.17,23.38,0
Manchester City,Tottenham,1292,1394,29.17,30.06,35.55,26.43,-1
Charlton Ath,Birmingham City,1241,1209,32.39,26.32,29.85,29.1,1
Manchester City,Manchester Utd,1317,1483,29.08,29.97,62.05,23.53,1
Blackburn,Bolton,1331,1384,40.0,27.11,30.36,28.74,0
Portsmouth,Everton,1182,1285,26.8,23.71,32.26,26.57,-1
Fulham,Newcastle Utd,1281,1284,31.79,26.59,42.98,26.86,1
Liverpool,Tottenham,1459,1380,48.0,25.52,35.67,26.38,1
Arsenal,Middlesbrough,1480,1278,53.04,27.19,30.69,29.95,1
Aston Villa,West Ham,1280,1273,37.76,29.03,33.99,26.65,-1
Wigan Athletic,West Brom,1103,1210,52.38,4.76,17.53,28.87,-1
Sunderland,Chelsea,1000,1652,26.67,24.76,47.63,27.32,-1
West Brom,Sunderland,1185,1025,18.37,28.57,26.54,24.64,-1
Birmingham City,Portsmouth,1224,1167,29.63,28.89,26.53,23.47,1
Bolton,Manchester City,1397,1304,30.24,29.03,29.29,29.88,1
Newcastle Utd,Blackburn,1270,1345,42.89,26.8,39.91,27.27,-1
Everton,Arsenal,1309,1456,32.39,26.52,53.13,27.13,1
Tottenham,Aston Villa,1376,1284,35.61,26.33,37.69,28.98,0
Middlesbrough,Wigan Athletic,1255,1126,30.62,29.88,50.0,4.55,-1
Chelsea,Charlton Ath,1639,1254,47.73,27.27,32.66,26.21,0
Manchester Utd,Liverpool,1498,1444,61.93,23.48,48.1,25.48,1
West Ham,Fulham,1289,1265,34.15,26.59,32.18,26.44,1
Fulham,Tottenham,1286,1355,32.0,26.29,35.54,26.47,1
Charlton Ath,West Brom,1251,1188,32.53,26.51,18.18,28.28,0
Sunderland,Middlesbrough,1018,1262,26.89,24.53,30.54,29.8,-1
Wigan Athletic,Everton,1134,1301,52.17,4.35,32.51,26.47,0
Blackburn,Manchester Utd,1368,1475,40.04,27.21,62.0,23.44,1
Manchester City,Newcastle Utd,1318,1256,29.2,29.79,42.8,26.75,1
Arsenal,West Ham,1433,1312,53.03,27.08,34.31,26.52,-1
Liverpool,Birmingham City,1435,1233,48.01,25.43,30.15,28.68,0
Portsmouth,Bolton,1176,1388,26.26,23.23,30.52,28.92,0
Aston Villa,Chelsea,1296,1627,37.62,29.11,47.64,27.41,0
Middlesbrough,Aston Villa,1248,1310,30.71,29.73,37.55,29.25,-1
Newcastle Utd,Portsmouth,1268,1164,42.71,26.69,26.0,24.0,1
West Ham,Sunderland,1317,1013,34.47,26.46,26.76,24.41,1
Birmingham City,Arsenal,1225,1441,29.93,29.2,52.93,27.03,-1
Bolton,Wigan Athletic,1378,1144,30.4,29.2,50.0,8.33,0
Everton,Manchester City,1318,1301,32.45,26.6,29.41,29.71,1
West Brom,Blackburn,1212,1344,18.0,29.0,40.18,27.15,1
Manchester Utd,Fulham,1483,1278,61.89,23.4,32.39,26.14,1
Tottenham,Charlton Ath,1366,1240,35.47,26.42,32.4,26.8,1
Chelsea,Liverpool,1635,1427,47.55,27.55,47.92,25.57,1
Charlton Ath,Liverpool,1264,1403,32.27,26.69,47.83,25.52,1
Portsmouth,Manchester Utd,1160,1487,25.74,23.76,61.96,23.35,-1
Everton,Blackburn,1335,1327,32.58,26.55,40.09,27.09,1
Middlesbrough,Chelsea,1277,1606,30.64,29.66,47.65,27.5,1
Wigan Athletic,Liverpool,1138,1409,48.0,12.0,47.74,25.47,-1
Aston Villa,Newcastle Utd,1292,1286,37.66,29.19,42.83,26.64,-1
Fulham,West Brom,1291,1199,32.2,25.99,18.81,28.71,1
Arsenal,Bolton,1438,1381,53.02,26.98,30.28,29.48,0
Manchester City,Charlton Ath,1315,1250,29.33,29.62,32.54,26.59,1
Sunderland,Tottenham,1025,1354,26.64,24.3,35.59,26.37,0
West Ham,Birmingham City,1329,1213,34.62,26.39,29.71,28.99,1
Liverpool,Arsenal,1426,1421,47.83,25.42,52.92,27.12,1
Blackburn,Sunderland,1332,1020,40.0,27.03,26.51,24.65,1
Tottenham,Wigan Athletic,1345,1147,35.53,26.5,46.15,11.54,0
Newcastle Utd,Charlton Ath,1284,1252,42.94,26.58,32.41,26.48,0
Blackburn,Arsenal,1352,1401,40.13,26.97,52.82,27.07,1
Birmingham City,Sunderland,1221,1012,29.5,28.78,26.39,24.54,1
Chelsea,Portsmouth,1608,1158,47.56,27.44,25.49,23.53,1
Newcastle Utd,Everton,1302,1317,42.86,26.73,32.71,26.5,1
Charlton Ath,Aston Villa,1254,1290,32.28,26.77,37.59,29.14,0
Liverpool,Manchester City,1437,1304,47.93,25.38,29.53,29.53,1
Bolton,Fulham,1393,1279,30.16,29.76,32.58,25.84,1
West Brom,Middlesbrough,1187,1289,18.63,28.43,30.81,29.58,-1
Aston Villa,Portsmouth,1300,1148,37.52,29.27,25.24,23.3,1
Middlesbrough,Birmingham City,1302,1208,30.98,29.51,30.0,28.57,1
West Ham,Everton,1328,1318,34.78,26.33,32.65,26.45,0
Fulham,Arsenal,1268,1412,32.4,25.7,52.72,27.02,-1
Newcastle Utd,Bolton,1322,1373,42.97,26.68,30.43,29.64,1
West Brom,Chelsea,1184,1611,18.45,28.16,47.65,27.39,-1
Liverpool,Charlton Ath,1429,1262,48.03,25.33,32.16,27.06,0
Tottenham,Blackburn,1361,1336,35.46,26.64,40.26,26.91,1
Manchester City,Sunderland,1309,1007,29.45,29.45,26.27,24.42,1
Wigan Athletic,Manchester Utd,1143,1491,44.44,14.81,62.03,23.31,-1
Bolton,West Ham,1387,1314,30.31,29.53,34.7,26.51,1
Blackburn,Aston Villa,1350,1286,40.17,26.86,37.64,29.21,1
Sunderland,Wigan Athletic,997,1153,26.15,24.31,42.86,14.29,-1
Birmingham City,West Brom,1207,1185,29.79,28.37,18.27,27.88,0
Chelsea,Tottenham,1617,1355,47.75,27.34,35.58,26.59,1
Portsmouth,Manchester City,1171,1286,25.0,23.08,29.65,29.36,1
Everton,Fulham,1332,1254,32.58,26.59,32.22,25.56,1
Charlton Ath,Middlesbrough,1280,1284,32.03,27.34,31.14,29.44,1
Manchester Utd,Newcastle Utd,1500,1313,62.1,23.26,43.09,26.63,1
Arsenal,Liverpool,1429,1412,52.81,26.97,47.94,25.47,1
Liverpool,Fulham,1421,1245,47.85,25.42,32.04,25.41,1
Blackburn,Middlesbrough,1363,1271,40.31,26.8,31.07,29.37,1
Arsenal,Charlton Ath,1439,1270,52.9,26.92,32.3,27.24,1
West Ham,Portsmouth,1292,1193,34.62,26.44,25.71,22.86,-1
Bolton,Sunderland,1390,994,30.59,29.41,26.03,24.2,1
West Brom,Manchester Utd,1181,1504,18.1,28.57,62.17,23.22,-1
Manchester City,Wigan Athletic,1264,1175,29.57,29.28,44.83,13.79,-1
Everton,Aston Villa,1346,1272,32.71,26.54,37.57,29.16,1
Birmingham City,Tottenham,1197,1365,29.58,28.87,35.51,26.54,-1
Newcastle Utd,Liverpool,1302,1432,43.0,26.57,47.95,25.37,-1
Fulham,Chelsea,1274,1588,31.87,25.27,47.85,27.29,1
Wigan Athletic,West Ham,1164,1303,46.67,13.33,34.53,26.38,-1
Sunderland,Blackburn,991,1366,25.91,24.09,40.43,26.74,-1
Chelsea,Manchester City,1592,1260,47.76,27.24,29.48,29.19,1
Liverpool,Everton,1444,1334,48.04,25.33,32.84,26.49,1
Aston Villa,Fulham,1272,1274,37.5,29.1,32.24,25.14,0
Middlesbrough,Bolton,1292,1369,30.99,29.3,30.86,29.3,1
Charlton Ath,Newcastle Utd,1287,1285,32.17,27.13,42.91,26.52,1
Manchester Utd,Birmingham City,1509,1192,62.24,23.18,29.37,28.67,1
Tottenham,West Brom,1373,1173,35.63,26.49,17.92,28.3,1
Manchester Utd,West Ham,1516,1296,62.31,23.13,34.69,26.32,1
West Brom,Liverpool,1167,1450,17.76,28.04,48.14,25.28,-1
Birmingham City,Chelsea,1205,1579,29.17,28.47,47.86,27.19,0
Newcastle Utd,Tottenham,1305,1353,42.83,26.46,35.75,26.44,1
Arsenal,Aston Villa,1448,1263,52.99,26.87,37.43,29.24,1
Bolton,Manchester Utd,1359,1526,30.74,29.18,62.38,23.09,-1
Everton,Sunderland,1322,1003,32.77,26.44,25.79,23.98,0
Fulham,Portsmouth,1254,1213,32.07,25.54,26.42,22.64,-1
