Home Team,Away Team,Home Team ELO,Away Team ELO,Home Team Win Percentage,Home Team Draw Percentage,Away Team Win Percentage,Away Team Draw Percentage,Winner
Sheffield Weds,Blackburn,1492,1570,30.77,30.77,53.85,38.46,0
Leeds United,Coventry City,1494,1523,30.77,38.46,46.15,30.77,0
Aston Villa,QPR,1559,1536,38.46,46.15,46.15,38.46,1
Crystal Palace,Arsenal,1452,1556,7.69,61.54,53.85,15.38,-1
Nott'ham Forest,Everton,1418,1455,14.29,28.57,21.43,28.57,-1
Liverpool,Middlesbrough,1495,1480,28.57,28.57,28.57,42.86,1
Ipswich Town,Southampton,1513,1465,28.57,57.14,21.43,35.71,0
Arsenal,Coventry City,1570,1509,57.14,14.29,42.86,35.71,1
Chelsea,Crystal Palace,1519,1438,35.71,28.57,7.14,57.14,1
Manchester City,Leeds United,1514,1478,35.71,28.57,28.57,42.86,1
Blackburn,Tottenham,1550,1505,50.0,42.86,21.43,42.86,-1
Wimbledon,QPR,1465,1549,21.43,35.71,42.86,35.71,-1
Aston Villa,Manchester Utd,1573,1510,42.86,42.86,35.71,42.86,1
Sheffield Utd,Sheffield Weds,1480,1491,28.57,28.57,28.57,35.71,0
Oldham Athletic,Norwich City,1458,1565,21.43,42.86,57.14,21.43,-1
Coventry City,Manchester City,1493,1530,40.0,33.33,40.0,26.67,-1
Crystal Palace,Nott'ham Forest,1437,1419,6.67,53.33,13.33,26.67,0
Sheffield Weds,Ipswich Town,1492,1512,26.67,40.0,26.67,60.0,0
Manchester Utd,Oldham Athletic,1524,1444,33.33,40.0,20.0,40.0,1
Norwich City,Sheffield Utd,1577,1468,60.0,20.0,26.67,33.33,1
Tottenham,Aston Villa,1508,1570,26.67,40.0,46.67,40.0,0
Leeds United,Arsenal,1498,1550,26.67,40.0,60.0,13.33,1
Everton,Chelsea,1442,1532,26.67,26.67,40.0,26.67,-1
Middlesbrough,Wimbledon,1495,1450,26.67,40.0,20.0,33.33,1
QPR,Liverpool,1531,1513,46.67,33.33,33.33,26.67,-1
Southampton,Blackburn,1469,1546,20.0,40.0,46.67,40.0,0
Oldham Athletic,Middlesbrough,1462,1477,18.75,37.5,31.25,37.5,1
Blackburn,QPR,1561,1516,43.75,43.75,43.75,31.25,1
Arsenal,Manchester Utd,1533,1541,56.25,12.5,37.5,37.5,-1
Aston Villa,Norwich City,1554,1593,43.75,43.75,62.5,18.75,-1
Wimbledon,Sheffield Weds,1452,1490,18.75,31.25,25.0,43.75,0
Ipswich Town,Everton,1525,1429,25.0,62.5,25.0,25.0,1
Sheffield Utd,Coventry City,1469,1492,25.0,31.25,37.5,31.25,0
Manchester City,Tottenham,1513,1525,43.75,25.0,25.0,43.75,-1
Liverpool,Crystal Palace,1526,1424,37.5,25.0,6.25,56.25,1
Nott'ham Forest,Southampton,1405,1483,12.5,31.25,18.75,43.75,-1
Chelsea,Leeds United,1546,1484,43.75,25.0,31.25,37.5,1
Leeds United,Nott'ham Forest,1464,1425,29.41,35.29,11.76,29.41,-1
Crystal Palace,Sheffield Utd,1442,1451,5.88,52.94,23.53,35.29,1
Southampton,Arsenal,1501,1515,23.53,41.18,52.94,11.76,1
Coventry City,Ipswich Town,1494,1523,35.29,35.29,29.41,58.82,0
Tottenham,Chelsea,1510,1561,29.41,41.18,47.06,23.53,-1
QPR,Oldham Athletic,1530,1448,41.18,29.41,23.53,35.29,1
Middlesbrough,Blackburn,1497,1541,29.41,35.29,47.06,41.18,1
Sheffield Weds,Aston Villa,1477,1567,23.53,47.06,41.18,41.18,-1
Norwich City,Wimbledon,1603,1442,64.71,17.65,17.65,35.29,1
Manchester Utd,Manchester City,1556,1498,41.18,35.29,41.18,23.53,1
Everton,Liverpool,1449,1506,23.53,23.53,41.18,23.53,1
Middlesbrough,Chelsea,1500,1558,33.33,33.33,50.0,22.22,0
Sheffield Utd,Everton,1467,1433,22.22,33.33,27.78,22.22,1
QPR,Crystal Palace,1510,1462,44.44,27.78,11.11,50.0,-1
Leeds United,Sheffield Weds,1481,1460,27.78,33.33,22.22,44.44,1
Tottenham,Arsenal,1526,1499,27.78,38.89,50.0,11.11,1
Manchester Utd,Norwich City,1574,1585,44.44,33.33,66.67,16.67,1
Southampton,Coventry City,1501,1494,27.78,38.89,33.33,38.89,0
Aston Villa,Nott'ham Forest,1577,1415,44.44,38.89,16.67,27.78,1
Ipswich Town,Manchester City,1538,1483,27.78,61.11,38.89,22.22,1
Wimbledon,Oldham Athletic,1458,1432,16.67,33.33,22.22,33.33,1
Liverpool,Blackburn,1524,1523,38.89,22.22,44.44,38.89,1
Oldham Athletic,Tottenham,1452,1506,21.05,31.58,31.58,36.84,1
Blackburn,Sheffield Utd,1536,1454,42.11,36.84,26.32,31.58,1
Everton,Southampton,1452,1482,26.32,21.05,26.32,42.11,1
Chelsea,Manchester Utd,1559,1573,47.37,26.32,47.37,31.58,0
Coventry City,Liverpool,1511,1507,31.58,42.11,42.11,21.05,1
Manchester City,Aston Villa,1487,1573,36.84,21.05,47.37,36.84,0
Sheffield Weds,QPR,1478,1492,21.05,42.11,42.11,26.32,1
Arsenal,Middlesbrough,1499,1500,47.37,10.53,31.58,36.84,0
Crystal Palace,Leeds United,1479,1464,15.79,47.37,31.58,31.58,1
Nott'ham Forest,Wimbledon,1417,1456,15.79,26.32,21.05,31.58,0
Norwich City,Ipswich Town,1567,1556,63.16,15.79,31.58,57.89,-1
Crystal Palace,Wimbledon,1494,1441,20.0,45.0,20.0,35.0,1
Arsenal,Ipswich Town,1502,1553,45.0,15.0,35.0,55.0,0
Coventry City,Aston Villa,1530,1554,35.0,40.0,45.0,40.0,1
Chelsea,Southampton,1556,1485,45.0,30.0,25.0,40.0,0
Manchester City,Sheffield Utd,1501,1440,35.0,25.0,25.0,30.0,1
Sheffield Weds,Manchester Utd,1482,1569,25.0,40.0,45.0,35.0,0
Norwich City,Tottenham,1564,1509,60.0,15.0,30.0,35.0,0
Blackburn,Leeds United,1549,1451,45.0,35.0,30.0,30.0,1
Everton,Middlesbrough,1454,1498,30.0,20.0,30.0,40.0,0
Middlesbrough,Crystal Palace,1482,1510,28.57,42.86,23.81,42.86,-1
QPR,Everton,1506,1440,40.0,25.0,28.57,23.81,1
Aston Villa,Arsenal,1568,1488,42.86,38.1,42.86,19.05,1
Liverpool,Manchester City,1507,1501,40.0,20.0,38.1,23.81,0
Southampton,Sheffield Weds,1469,1498,23.81,42.86,23.81,42.86,-1
Manchester Utd,Coventry City,1583,1516,42.86,38.1,38.1,38.1,1
Wimbledon,Chelsea,1446,1551,19.05,33.33,42.86,33.33,0
Ipswich Town,Blackburn,1569,1533,33.33,57.14,47.62,33.33,1
Leeds United,Norwich City,1456,1559,28.57,28.57,57.14,19.05,0
Tottenham,Nott'ham Forest,1521,1405,28.57,38.1,15.0,30.0,1
Arsenal,Sheffield Utd,1486,1442,40.91,18.18,23.81,28.57,0
Crystal Palace,Everton,1491,1459,27.27,40.91,27.27,22.73,-1
Chelsea,Manchester City,1533,1519,40.91,36.36,36.36,27.27,-1
Manchester Utd,Tottenham,1596,1508,45.45,36.36,31.82,36.36,1
Coventry City,Nott'ham Forest,1495,1426,36.36,36.36,14.29,28.57,-1
