Season,Home Team,Away Team,Home Goals,Away Goals,Home Team ELO,Away Team ELO,Home XG,Away XG,Home XGA,Away XGA,Home Win Percentage,Home Draw Percentage,Away Win Percentage,Away Draw Percentage,Head2Head Win,Head2Head Draw,Winner
2014-2015,Liverpool,Hull City,0,0,1238,964,52,33,38,47,49.71,25.09,21.14,28.46,0,100,0
2014-2015,Swansea City,Leicester City,2,0,1026,800,41,48,55,55,30.89,28.46,27.13,29.34,100,0,1
2014-2015,Burnley,Everton,1,3,696,1164,39,44,58,47,17.02,21.28,36.41,28.59,0,0,-1
2014-2015,Tottenham,Newcastle Utd,1,2,1145,1008,53,40,56,51,39.56,25.79,39.25,26.0,0,0,-1
2014-2015,Manchester Utd,Chelsea,1,1,1156,1319,55,70,33,31,64.18,20.89,53.09,25.32,0,100,0
2014-2015,QPR,Aston Villa,2,0,888,985,46,33,65,50,30.12,24.1,35.71,30.34,100,0,1
2014-2015,Newcastle Utd,Liverpool,1,0,1033,1213,40,52,51,38,39.33,25.96,49.65,25.06,100,0,1
2014-2015,Chelsea,QPR,2,1,1321,886,70,46,31,65,53.15,25.29,30.0,24.0,100,0,1
2014-2015,Hull City,Southampton,0,1,956,1149,33,59,47,36,20.97,28.23,30.57,27.53,0,0,-1
2014-2015,Everton,Swansea City,0,0,1158,1032,44,41,47,55,36.36,28.67,30.65,29.03,0,100,0
2014-2015,Stoke City,West Ham,2,2,1050,1056,46,47,47,57,30.25,29.83,32.76,25.21,0,100,0
2014-2015,Leicester City,West Brom,0,1,792,1009,48,40,55,53,27.04,29.25,24.2,27.39,0,0,-1
2014-2015,Arsenal,Burnley,3,0,1242,695,70,39,36,58,54.08,26.34,16.67,20.83,100,0,1
2014-2015,Manchester City,Manchester Utd,1,0,1315,1147,77,55,40,33,39.97,25.0,64.1,20.86,100,0,1
2014-2015,Aston Villa,Tottenham,1,2,976,1154,33,53,50,56,35.66,30.3,39.63,25.76,0,0,-1
2014-2015,Crystal Palace,Sunderland,1,3,963,1013,45,37,46,51,25.0,27.88,26.39,25.6,0,0,-1
2014-2015,Liverpool,Chelsea,1,2,1202,1332,52,70,38,31,49.59,25.03,53.2,25.26,0,0,-1
2014-2015,Manchester Utd,Crystal Palace,1,0,1155,955,55,45,33,46,64.14,20.84,24.88,27.75,100,0,1
2014-2015,Southampton,Leicester City,2,0,1153,788,59,48,36,55,30.69,27.49,26.96,29.15,100,0,1
2014-2015,West Ham,Aston Villa,0,0,1052,980,47,33,57,50,32.72,25.32,35.62,30.38,0,100,0
2014-2015,Burnley,Hull City,1,0,721,930,39,33,58,47,18.37,20.41,20.8,28.0,100,0,1
2014-2015,QPR,Manchester City,2,2,900,1301,46,77,65,40,29.88,24.3,39.91,25.11,0,100,0
2014-2015,West Brom,Newcastle Utd,0,2,994,1048,40,40,53,51,24.13,27.3,39.41,25.93,0,0,-1
2014-2015,Sunderland,Everton,1,1,1019,1152,37,44,51,47,26.34,25.74,36.32,28.75,0,100,0
2014-2015,Tottenham,Stoke City,1,2,1133,1071,53,46,56,47,39.58,25.73,30.54,29.71,0,0,-1
2014-2015,Swansea City,Arsenal,2,1,1057,1217,41,70,55,36,31.2,28.8,54.02,26.31,100,0,1
2014-2015,Everton,West Ham,2,1,1164,1040,44,47,47,57,36.4,28.72,32.67,25.28,100,0,1
2014-2015,Leicester City,Sunderland,0,0,797,1010,48,37,55,51,26.88,29.38,26.28,25.89,0,100,0
2014-2015,Newcastle Utd,QPR,1,0,1058,890,40,46,51,65,39.49,25.9,29.76,24.21,100,0,1
2014-2015,Manchester City,Swansea City,2,1,1307,1051,77,41,40,55,40.0,25.07,30.95,28.57,100,0,1
2014-2015,Stoke City,Burnley,1,2,1043,749,46,39,47,58,30.42,29.58,20.0,20.0,0,0,-1
2014-2015,Chelsea,West Brom,2,0,1336,990,70,40,31,53,53.26,25.23,24.05,27.22,100,0,1
2014-2015,Arsenal,Manchester Utd,1,2,1198,1174,70,55,36,33,53.95,26.28,64.19,20.81,0,0,-1
2014-2015,Crystal Palace,Liverpool,3,1,981,1176,45,52,46,38,25.24,27.62,49.53,25.0,100,0,1
2014-2015,Hull City,Tottenham,1,2,922,1141,33,53,47,56,20.63,27.78,39.65,25.7,0,0,-1
2014-2015,Aston Villa,Southampton,1,1,987,1146,33,59,50,36,35.58,30.47,30.64,27.61,0,100,0
2014-2015,West Brom,Arsenal,0,1,983,1205,40,70,53,36,23.97,27.13,54.01,26.25,0,0,-1
2014-2015,Swansea City,Crystal Palace,1,1,1048,984,41,45,55,46,30.71,29.13,25.12,27.96,0,100,0
2014-2015,QPR,Leicester City,3,2,902,785,46,48,65,55,30.04,24.11,26.79,29.28,100,0,1
2014-2015,Burnley,Aston Villa,1,1,759,977,39,33,58,50,19.61,21.57,35.54,30.55,0,100,0
2014-2015,Liverpool,Stoke City,1,0,1186,1033,52,46,38,47,49.59,24.97,30.29,29.46,100,0,1
2014-2015,West Ham,Newcastle Utd,1,0,1057,1041,47,40,57,51,32.77,25.25,39.44,25.86,100,0,1
2014-2015,Manchester Utd,Hull City,3,0,1180,916,55,33,33,47,64.23,20.79,20.47,27.56,100,0,1
2014-2015,Sunderland,Chelsea,0,0,1022,1324,37,70,51,31,26.23,26.04,53.19,25.32,0,100,0
2014-2015,Southampton,Manchester City,0,3,1137,1316,59,77,36,40,30.59,27.56,40.09,25.04,0,0,-1
2014-2015,Tottenham,Everton,2,1,1158,1147,53,44,56,47,39.72,25.67,36.35,28.69,100,0,1
2014-2015,Swansea City,QPR,2,0,1058,892,41,46,55,65,31.25,28.91,29.92,24.02,100,0,1
2014-2015,Leicester City,Liverpool,1,3,782,1189,48,52,55,38,26.71,29.19,49.65,24.94,0,0,-1
2014-2015,Manchester Utd,Stoke City,2,1,1190,1023,55,46,33,47,64.27,20.77,30.17,29.34,100,0,1
2014-2015,Burnley,Newcastle Utd,1,1,770,1030,39,40,58,51,19.23,23.08,39.39,25.96,0,100,0
2014-2015,West Brom,West Ham,1,2,970,1070,40,47,53,57,23.9,27.04,32.86,25.21,0,0,-1
2014-2015,Crystal Palace,Aston Villa,0,1,968,993,45,33,46,50,25.0,27.83,35.61,30.51,0,0,-1
2014-2015,Everton,Hull City,1,1,1138,925,44,33,47,47,36.31,28.77,20.31,28.12,0,100,0
2014-2015,Arsenal,Southampton,1,0,1218,1124,70,59,36,36,54.06,26.22,30.54,27.52,100,0,1
2014-2015,Sunderland,Manchester City,1,4,1017,1321,37,78,51,40,26.18,25.98,40.18,25.0,0,0,-1
2014-2015,Chelsea,Tottenham,3,0,1333,1149,70,53,31,56,53.25,25.29,39.68,25.64,100,0,1
2014-2015,Newcastle Utd,Chelsea,2,1,1057,1306,40,70,51,31,39.46,25.93,53.19,25.26,100,0,1
2014-2015,QPR,Burnley,2,0,903,759,46,39,65,58,30.2,23.92,18.87,22.64,100,0,1
2014-2015,Liverpool,Sunderland,0,0,1182,1024,52,37,38,51,49.59,25.03,26.13,26.13,0,100,0
2014-2015,Tottenham,Crystal Palace,0,0,1141,976,53,45,56,46,39.63,25.72,24.88,28.17,0,100,0
2014-2015,Hull City,West Brom,0,0,927,968,33,40,47,53,20.16,28.68,23.82,27.27,0,100,0
2014-2015,Stoke City,Arsenal,3,2,1047,1194,46,70,47,36,30.45,29.22,54.0,26.19,100,0,1
2014-2015,Manchester City,Everton,1,0,1329,1130,78,44,40,47,40.27,24.96,36.27,28.74,100,0,1
2014-2015,West Ham,Swansea City,3,1,1085,1043,47,41,57,55,32.96,25.18,31.01,28.68,100,0,1
2014-2015,Aston Villa,Leicester City,2,1,1000,775,33,48,50,55,35.69,30.48,26.63,29.1,100,0,1
2014-2015,Southampton,Manchester Utd,1,2,1111,1203,59,55,36,33,30.49,27.47,64.31,20.74,0,0,-1
2014-2015,Leicester City,Manchester City,0,1,774,1330,48,78,55,40,26.54,29.01,40.36,24.93,0,0,-1
2014-2015,West Brom,Aston Villa,1,0,985,983,40,33,53,50,24.06,27.19,35.65,30.44,100,0,1
2014-2015,Chelsea,Hull City,2,0,1309,924,70,33,31,47,53.24,25.23,20.0,28.46,100,0,1
2014-2015,Burnley,Southampton,1,0,787,1083,39,59,58,36,20.37,22.22,30.43,27.42,100,0,1
2014-2015,Crystal Palace,Stoke City,1,1,979,1044,45,46,46,47,24.77,28.5,30.33,29.51,0,100,0
2014-2015,Sunderland,West Ham,1,1,1027,1082,37,47,51,57,26.08,26.27,32.91,25.28,0,100,0
2014-2015,Arsenal,Newcastle Utd,4,1,1204,1047,71,40,36,51,54.05,26.16,39.41,25.89,100,0,1
2014-2015,Manchester Utd,Liverpool,3,0,1218,1167,55,52,33,38,64.35,20.72,49.54,25.0,100,0,1
2014-2015,Swansea City,Tottenham,1,2,1031,1153,41,53,55,56,30.77,28.46,39.7,25.69,0,0,-1
2014-2015,Everton,QPR,3,1,1137,896,44,46,47,65,36.34,28.7,30.08,23.83,100,0,1
2014-2015,Manchester City,Crystal Palace,3,0,1334,975,78,45,40,46,40.44,24.89,24.65,28.37,100,0,1
2014-2015,Southampton,Everton,3,0,1101,1119,59,44,36,47,30.55,27.38,36.3,28.67,100,0,1
2014-2015,QPR,West Brom,3,2,916,965,46,40,65,53,30.35,23.74,23.99,27.1,100,0,1
2014-2015,Aston Villa,Manchester Utd,1,1,992,1209,33,55,50,33,35.61,30.52,64.28,20.81,0,100,0
2014-2015,West Ham,Leicester City,2,0,1087,769,47,48,57,55,33.0,25.25,26.46,28.92,100,0,1
2014-2015,Tottenham,Burnley,2,1,1156,784,53,39,56,58,39.77,25.66,20.0,21.82,100,0,1
2014-2015,Hull City,Swansea City,0,1,913,1042,33,41,47,55,19.85,28.24,31.3,28.24,0,0,-1
2014-2015,Newcastle Utd,Sunderland,0,1,1030,1044,40,37,51,51,39.36,25.86,26.22,26.22,0,0,-1
2014-2015,Liverpool,Arsenal,2,2,1169,1202,52,71,38,36,49.48,25.09,53.99,26.24,0,100,0
2014-2015,Stoke City,Chelsea,0,2,1038,1315,46,70,47,31,30.2,29.39,53.29,25.2,0,0,-1
2014-2015,Chelsea,West Ham,2,0,1322,1080,70,47,31,57,53.35,25.17,32.96,25.21,100,0,1
2014-2015,West Brom,Manchester City,1,3,962,1337,40,78,53,40,23.91,27.02,40.53,24.85,0,0,-1
2014-2015,Leicester City,Tottenham,1,2,766,1159,48,53,55,56,26.38,28.83,39.84,25.64,0,0,-1
2014-2015,Sunderland,Hull City,1,3,1022,935,37,33,51,47,26.17,26.17,20.45,28.03,0,0,-1
2014-2015,Manchester Utd,Newcastle Utd,3,1,1217,1022,55,40,33,51,64.32,20.79,39.31,25.83,100,0,1
2014-2015,Swansea City,Aston Villa,1,0,1056,978,41,33,55,50,31.82,28.03,35.57,30.48,100,0,1
2014-2015,Everton,Stoke City,0,1,1099,1058,44,46,47,47,36.26,28.64,30.49,29.27,0,0,-1
2014-2015,Burnley,Liverpool,0,1,781,1172,39,52,58,38,19.64,21.43,49.54,25.06,0,0,-1
2014-2015,Crystal Palace,Southampton,1,3,965,1111,45,59,46,36,24.54,28.24,30.67,27.33,0,0,-1
2014-2015,Arsenal,QPR,2,1,1207,911,71,46,36,65,54.04,26.21,30.23,23.64,100,0,1
2014-2015,Tottenham,Manchester Utd,0,0,1162,1214,53,55,56,33,39.79,25.72,64.24,20.88,0,100,0
2014-2015,Southampton,Chelsea,1,1,1120,1313,59,70,36,31,30.62,27.45,53.29,25.26,0,100,0
